,0,1
0,172.20872,2017-01-10T00:00:00.000000000
1,173.11522,2017-01-11T00:00:00.000000000
2,173.70125,2017-01-12T00:00:00.000000000
3,173.91093,2017-01-13T00:00:00.000000000
4,173.87956,2017-01-16T00:00:00.000000000
5,173.62796,2017-01-17T00:00:00.000000000
6,173.25635,2017-01-18T00:00:00.000000000
7,172.99222,2017-01-19T00:00:00.000000000
8,173.00826,2017-01-20T00:00:00.000000000
9,173.20627,2017-01-23T00:00:00.000000000
10,173.42592,2017-01-24T00:00:00.000000000
11,173.60097,2017-01-25T00:00:00.000000000
12,173.84424,2017-01-26T00:00:00.000000000
13,174.08818,2017-01-27T00:00:00.000000000
14,174.21394,2017-01-30T00:00:00.000000000
15,174.25166,2017-01-31T00:00:00.000000000
16,174.18356,2017-02-01T00:00:00.000000000
17,173.93619,2017-02-02T00:00:00.000000000
18,173.57428,2017-02-03T00:00:00.000000000
19,173.35196,2017-02-06T00:00:00.000000000
20,173.36752,2017-02-07T00:00:00.000000000
21,173.50897,2017-02-08T00:00:00.000000000
22,173.75153,2017-02-09T00:00:00.000000000
23,174.21887,2017-02-10T00:00:00.000000000
24,174.84798,2017-02-13T00:00:00.000000000
25,175.49194,2017-02-14T00:00:00.000000000
26,176.1182,2017-02-15T00:00:00.000000000
27,176.60399,2017-02-16T00:00:00.000000000
28,176.83359,2017-02-17T00:00:00.000000000
29,176.8388,2017-02-20T00:00:00.000000000
30,176.68298,2017-02-21T00:00:00.000000000
31,176.39857,2017-02-22T00:00:00.000000000
32,176.10773,2017-02-23T00:00:00.000000000
33,176.06526,2017-02-24T00:00:00.000000000
34,176.2631,2017-02-27T00:00:00.000000000
35,176.46388,2017-02-28T00:00:00.000000000
36,176.42131,2017-03-01T00:00:00.000000000
37,176.2816,2017-03-02T00:00:00.000000000
38,176.40492,2017-03-03T00:00:00.000000000
39,176.86768,2017-03-06T00:00:00.000000000
40,177.43822,2017-03-07T00:00:00.000000000
41,178.07541,2017-03-08T00:00:00.000000000
42,178.81,2017-03-09T00:00:00.000000000
43,179.40005,2017-03-10T00:00:00.000000000
44,179.63275,2017-03-13T00:00:00.000000000
45,179.50267,2017-03-14T00:00:00.000000000
46,179.12396,2017-03-15T00:00:00.000000000
47,178.57024,2017-03-16T00:00:00.000000000
48,178.11398,2017-03-17T00:00:00.000000000
49,177.95029,2017-03-20T00:00:00.000000000
50,178.05113,2017-03-21T00:00:00.000000000
51,178.32846,2017-03-22T00:00:00.000000000
52,178.69913,2017-03-23T00:00:00.000000000
53,178.90788,2017-03-24T00:00:00.000000000
54,178.82864,2017-03-27T00:00:00.000000000
55,178.61015,2017-03-28T00:00:00.000000000
56,178.38622,2017-03-29T00:00:00.000000000
57,178.18771,2017-03-30T00:00:00.000000000
58,177.95332,2017-03-31T00:00:00.000000000
59,177.70671,2017-04-03T00:00:00.000000000
60,177.5725,2017-04-04T00:00:00.000000000
61,177.65321,2017-04-05T00:00:00.000000000
62,177.83954,2017-04-06T00:00:00.000000000
63,178.04274,2017-04-07T00:00:00.000000000
64,178.23355,2017-04-10T00:00:00.000000000
65,178.31517,2017-04-11T00:00:00.000000000
66,178.20299,2017-04-12T00:00:00.000000000
67,177.95068,2017-04-13T00:00:00.000000000
68,177.7376,2017-04-18T00:00:00.000000000
69,177.74503,2017-04-19T00:00:00.000000000
70,178.00063,2017-04-20T00:00:00.000000000
71,178.40907,2017-04-21T00:00:00.000000000
72,178.82973,2017-04-24T00:00:00.000000000
73,179.13748,2017-04-25T00:00:00.000000000
74,179.33511,2017-04-26T00:00:00.000000000
75,179.45947,2017-04-27T00:00:00.000000000
76,179.5747,2017-04-28T00:00:00.000000000
77,179.64557,2017-05-02T00:00:00.000000000
