,0,1
0,1179.6375,2017-01-11T00:00:00.000000000
1,1183.6239,2017-01-12T00:00:00.000000000
2,1188.6173,2017-01-13T00:00:00.000000000
3,1194.1335,2017-01-17T00:00:00.000000000
4,1198.9974,2017-01-18T00:00:00.000000000
5,1204.2458,2017-01-19T00:00:00.000000000
6,1210.4425,2017-01-20T00:00:00.000000000
7,1215.5676,2017-01-23T00:00:00.000000000
8,1219.0948,2017-01-24T00:00:00.000000000
9,1222.9337,2017-01-25T00:00:00.000000000
10,1226.8654,2017-01-26T00:00:00.000000000
11,1228.8762,2017-01-27T00:00:00.000000000
12,1228.8513,2017-01-30T00:00:00.000000000
13,1228.6388,2017-01-31T00:00:00.000000000
14,1228.4902,2017-02-01T00:00:00.000000000
15,1227.8822,2017-02-02T00:00:00.000000000
16,1227.2413,2017-02-03T00:00:00.000000000
17,1227.487,2017-02-06T00:00:00.000000000
18,1229.1614,2017-02-07T00:00:00.000000000
19,1232.2081,2017-02-08T00:00:00.000000000
20,1236.1464,2017-02-09T00:00:00.000000000
21,1240.4097,2017-02-10T00:00:00.000000000
22,1244.5809,2017-02-13T00:00:00.000000000
23,1248.2451,2017-02-14T00:00:00.000000000
24,1250.8241,2017-02-15T00:00:00.000000000
25,1252.0643,2017-02-16T00:00:00.000000000
26,1252.7847,2017-02-17T00:00:00.000000000
27,1253.7808,2017-02-21T00:00:00.000000000
28,1254.8389,2017-02-22T00:00:00.000000000
29,1255.6487,2017-02-23T00:00:00.000000000
30,1256.3906,2017-02-24T00:00:00.000000000
31,1257.5951,2017-02-27T00:00:00.000000000
32,1259.4679,2017-02-28T00:00:00.000000000
33,1261.6206,2017-03-01T00:00:00.000000000
34,1263.6017,2017-03-02T00:00:00.000000000
35,1265.0612,2017-03-03T00:00:00.000000000
36,1265.6531,2017-03-06T00:00:00.000000000
37,1264.922,2017-03-07T00:00:00.000000000
38,1263.0067,2017-03-08T00:00:00.000000000
39,1260.4299,2017-03-09T00:00:00.000000000
40,1257.5289,2017-03-10T00:00:00.000000000
41,1254.1846,2017-03-13T00:00:00.000000000
42,1250.6512,2017-03-14T00:00:00.000000000
43,1247.1937,2017-03-15T00:00:00.000000000
44,1243.6619,2017-03-16T00:00:00.000000000
45,1240.095,2017-03-17T00:00:00.000000000
46,1237.9192,2017-03-20T00:00:00.000000000
47,1237.6292,2017-03-21T00:00:00.000000000
48,1238.6711,2017-03-22T00:00:00.000000000
49,1241.3441,2017-03-23T00:00:00.000000000
50,1245.6978,2017-03-24T00:00:00.000000000
51,1250.6804,2017-03-27T00:00:00.000000000
52,1255.0033,2017-03-28T00:00:00.000000000
53,1258.4454,2017-03-29T00:00:00.000000000
54,1261.351,2017-03-30T00:00:00.000000000
55,1263.7704,2017-03-31T00:00:00.000000000
56,1265.3865,2017-04-03T00:00:00.000000000
57,1266.2141,2017-04-04T00:00:00.000000000
58,1266.8135,2017-04-05T00:00:00.000000000
59,1267.5576,2017-04-06T00:00:00.000000000
60,1268.2275,2017-04-07T00:00:00.000000000
61,1268.6105,2017-04-10T00:00:00.000000000
62,1268.9282,2017-04-11T00:00:00.000000000
63,1269.4327,2017-04-12T00:00:00.000000000
64,1270.4912,2017-04-13T00:00:00.000000000
65,1272.1964,2017-04-17T00:00:00.000000000
66,1274.8789,2017-04-18T00:00:00.000000000
67,1278.5333,2017-04-19T00:00:00.000000000
68,1282.3756,2017-04-20T00:00:00.000000000
69,1285.7693,2017-04-21T00:00:00.000000000
70,1288.1304,2017-04-24T00:00:00.000000000
71,1289.6411,2017-04-25T00:00:00.000000000
72,1290.5095,2017-04-26T00:00:00.000000000
73,1290.977,2017-04-27T00:00:00.000000000
74,1290.8174,2017-04-28T00:00:00.000000000
75,1289.8126,2017-05-01T00:00:00.000000000
76,1288.7904,2017-05-02T00:00:00.000000000
77,1288.0626,2017-05-03T00:00:00.000000000
78,1287.3264,2017-05-04T00:00:00.000000000
79,1286.062,2017-05-05T00:00:00.000000000
80,1284.1827,2017-05-08T00:00:00.000000000
81,1281.6284,2017-05-09T00:00:00.000000000
82,1277.835,2017-05-10T00:00:00.000000000
83,1273.1831,2017-05-11T00:00:00.000000000
84,1268.5131,2017-05-12T00:00:00.000000000
85,1264.1981,2017-05-15T00:00:00.000000000
86,1260.7427,2017-05-16T00:00:00.000000000
87,1258.599,2017-05-17T00:00:00.000000000
88,1257.6984,2017-05-18T00:00:00.000000000
89,1258.3252,2017-05-19T00:00:00.000000000
90,1260.6348,2017-05-22T00:00:00.000000000
91,1264.0402,2017-05-23T00:00:00.000000000
92,1267.5336,2017-05-24T00:00:00.000000000
93,1270.4103,2017-05-25T00:00:00.000000000
94,1272.7788,2017-05-26T00:00:00.000000000
95,1274.358,2017-05-30T00:00:00.000000000
96,1275.3741,2017-05-31T00:00:00.000000000
97,1276.6658,2017-06-01T00:00:00.000000000
98,1278.6621,2017-06-02T00:00:00.000000000
99,1281.0142,2017-06-05T00:00:00.000000000
100,1283.2029,2017-06-06T00:00:00.000000000
101,1285.5262,2017-06-07T00:00:00.000000000
102,1288.1156,2017-06-08T00:00:00.000000000
103,1291.0127,2017-06-09T00:00:00.000000000
104,1293.7616,2017-06-12T00:00:00.000000000
105,1295.6757,2017-06-13T00:00:00.000000000
106,1296.2888,2017-06-14T00:00:00.000000000
107,1295.9578,2017-06-15T00:00:00.000000000
108,1295.3644,2017-06-16T00:00:00.000000000
109,1294.5236,2017-06-19T00:00:00.000000000
110,1293.4054,2017-06-20T00:00:00.000000000
111,1291.7628,2017-06-21T00:00:00.000000000
112,1289.6248,2017-06-22T00:00:00.000000000
113,1287.2383,2017-06-23T00:00:00.000000000
