,0,1
0,1012.56836,2017-01-11T00:00:00.000000000
1,1013.30505,2017-01-12T00:00:00.000000000
2,1017.45544,2017-01-13T00:00:00.000000000
3,1023.9031,2017-01-17T00:00:00.000000000
4,1032.4305,2017-01-18T00:00:00.000000000
5,1044.871,2017-01-19T00:00:00.000000000
6,1057.8921,2017-01-20T00:00:00.000000000
7,1067.2515,2017-01-23T00:00:00.000000000
8,1073.5245,2017-01-24T00:00:00.000000000
9,1075.8368,2017-01-25T00:00:00.000000000
10,1075.7631,2017-01-26T00:00:00.000000000
11,1073.2607,2017-01-27T00:00:00.000000000
12,1069.9539,2017-01-30T00:00:00.000000000
13,1066.7577,2017-01-31T00:00:00.000000000
14,1062.7201,2017-02-01T00:00:00.000000000
15,1056.8405,2017-02-02T00:00:00.000000000
16,1052.4072,2017-02-03T00:00:00.000000000
17,1051.3052,2017-02-06T00:00:00.000000000
18,1049.6832,2017-02-07T00:00:00.000000000
19,1047.92,2017-02-08T00:00:00.000000000
20,1048.7612,2017-02-09T00:00:00.000000000
21,1053.3479,2017-02-10T00:00:00.000000000
22,1057.673,2017-02-13T00:00:00.000000000
23,1060.9895,2017-02-14T00:00:00.000000000
24,1063.8698,2017-02-15T00:00:00.000000000
25,1065.4191,2017-02-16T00:00:00.000000000
26,1067.1052,2017-02-17T00:00:00.000000000
27,1067.3096,2017-02-21T00:00:00.000000000
28,1065.5713,2017-02-22T00:00:00.000000000
29,1061.1345,2017-02-23T00:00:00.000000000
30,1055.8413,2017-02-24T00:00:00.000000000
31,1050.0677,2017-02-27T00:00:00.000000000
32,1043.9758,2017-02-28T00:00:00.000000000
33,1038.5782,2017-03-01T00:00:00.000000000
34,1036.3798,2017-03-02T00:00:00.000000000
35,1038.4078,2017-03-03T00:00:00.000000000
36,1040.5955,2017-03-06T00:00:00.000000000
37,1041.8647,2017-03-07T00:00:00.000000000
38,1042.5326,2017-03-08T00:00:00.000000000
39,1041.971,2017-03-09T00:00:00.000000000
40,1039.4113,2017-03-10T00:00:00.000000000
41,1033.9327,2017-03-13T00:00:00.000000000
42,1027.6884,2017-03-14T00:00:00.000000000
43,1022.4323,2017-03-15T00:00:00.000000000
44,1017.4394,2017-03-16T00:00:00.000000000
