,0,1
0,429.0102,2017-01-11T00:00:00.000000000
1,432.34613,2017-01-12T00:00:00.000000000
2,436.7082,2017-01-13T00:00:00.000000000
3,441.19296,2017-01-17T00:00:00.000000000
4,445.75717,2017-01-18T00:00:00.000000000
5,450.57724,2017-01-19T00:00:00.000000000
6,455.23175,2017-01-20T00:00:00.000000000
7,458.31787,2017-01-23T00:00:00.000000000
8,460.34912,2017-01-24T00:00:00.000000000
9,464.22748,2017-01-25T00:00:00.000000000
10,466.10498,2017-01-26T00:00:00.000000000
11,464.5608,2017-01-27T00:00:00.000000000
12,463.4171,2017-01-30T00:00:00.000000000
13,462.76068,2017-01-31T00:00:00.000000000
14,459.81793,2017-02-01T00:00:00.000000000
15,455.99585,2017-02-02T00:00:00.000000000
16,455.04123,2017-02-03T00:00:00.000000000
17,455.8827,2017-02-06T00:00:00.000000000
18,455.09833,2017-02-07T00:00:00.000000000
19,453.63348,2017-02-08T00:00:00.000000000
20,453.70505,2017-02-09T00:00:00.000000000
21,455.63177,2017-02-10T00:00:00.000000000
22,457.548,2017-02-13T00:00:00.000000000
23,460.23523,2017-02-14T00:00:00.000000000
24,465.0468,2017-02-15T00:00:00.000000000
25,469.98807,2017-02-16T00:00:00.000000000
26,474.3408,2017-02-17T00:00:00.000000000
27,477.90747,2017-02-21T00:00:00.000000000
28,478.96323,2017-02-22T00:00:00.000000000
29,477.37454,2017-02-23T00:00:00.000000000
30,476.89816,2017-02-24T00:00:00.000000000
31,477.13333,2017-02-27T00:00:00.000000000
32,474.32742,2017-02-28T00:00:00.000000000
33,469.24338,2017-03-01T00:00:00.000000000
34,465.8931,2017-03-02T00:00:00.000000000
35,466.02994,2017-03-03T00:00:00.000000000
36,466.3731,2017-03-06T00:00:00.000000000
37,464.9747,2017-03-07T00:00:00.000000000
38,465.22348,2017-03-08T00:00:00.000000000
39,468.1011,2017-03-09T00:00:00.000000000
40,468.72775,2017-03-10T00:00:00.000000000
41,465.85062,2017-03-13T00:00:00.000000000
42,462.80972,2017-03-14T00:00:00.000000000
43,460.18387,2017-03-15T00:00:00.000000000
44,456.3181,2017-03-16T00:00:00.000000000
45,454.57965,2017-03-17T00:00:00.000000000
46,456.47858,2017-03-20T00:00:00.000000000
47,458.22165,2017-03-21T00:00:00.000000000
48,458.3685,2017-03-22T00:00:00.000000000
49,458.20895,2017-03-23T00:00:00.000000000
50,457.84998,2017-03-24T00:00:00.000000000
51,456.3143,2017-03-27T00:00:00.000000000
52,454.20837,2017-03-28T00:00:00.000000000
53,452.723,2017-03-29T00:00:00.000000000
54,451.32593,2017-03-30T00:00:00.000000000
55,450.45752,2017-03-31T00:00:00.000000000
56,450.01016,2017-04-03T00:00:00.000000000
57,449.43497,2017-04-04T00:00:00.000000000
58,449.48996,2017-04-05T00:00:00.000000000
59,449.81735,2017-04-06T00:00:00.000000000
60,450.18314,2017-04-07T00:00:00.000000000
61,450.19623,2017-04-10T00:00:00.000000000
62,449.4595,2017-04-11T00:00:00.000000000
63,449.18954,2017-04-12T00:00:00.000000000
64,450.22327,2017-04-13T00:00:00.000000000
65,451.57474,2017-04-17T00:00:00.000000000
66,451.94257,2017-04-18T00:00:00.000000000
67,451.32272,2017-04-19T00:00:00.000000000
68,450.65607,2017-04-20T00:00:00.000000000
69,450.05478,2017-04-21T00:00:00.000000000
70,447.8951,2017-04-24T00:00:00.000000000
71,444.3395,2017-04-25T00:00:00.000000000
72,441.4319,2017-04-26T00:00:00.000000000
73,439.72263,2017-04-27T00:00:00.000000000
74,438.5402,2017-04-28T00:00:00.000000000
75,437.5991,2017-05-01T00:00:00.000000000
76,437.36548,2017-05-02T00:00:00.000000000
77,439.3097,2017-05-03T00:00:00.000000000
78,444.3144,2017-05-04T00:00:00.000000000
79,449.66913,2017-05-05T00:00:00.000000000
80,452.25885,2017-05-08T00:00:00.000000000
81,452.85968,2017-05-09T00:00:00.000000000
82,453.18204,2017-05-10T00:00:00.000000000
83,451.93277,2017-05-11T00:00:00.000000000
84,448.95636,2017-05-12T00:00:00.000000000
85,447.29678,2017-05-15T00:00:00.000000000
86,446.62436,2017-05-16T00:00:00.000000000
87,446.4856,2017-05-17T00:00:00.000000000
88,447.82687,2017-05-18T00:00:00.000000000
89,449.9579,2017-05-19T00:00:00.000000000
90,452.14548,2017-05-22T00:00:00.000000000
91,454.79065,2017-05-23T00:00:00.000000000
92,458.4646,2017-05-24T00:00:00.000000000
93,461.2113,2017-05-25T00:00:00.000000000
94,462.1368,2017-05-26T00:00:00.000000000
95,463.21344,2017-05-30T00:00:00.000000000
96,465.21237,2017-05-31T00:00:00.000000000
97,466.59302,2017-06-01T00:00:00.000000000
98,466.14233,2017-06-02T00:00:00.000000000
99,465.69608,2017-06-05T00:00:00.000000000
100,466.1091,2017-06-06T00:00:00.000000000
101,465.45157,2017-06-07T00:00:00.000000000
102,465.0032,2017-06-08T00:00:00.000000000
103,467.20892,2017-06-09T00:00:00.000000000
104,471.93604,2017-06-12T00:00:00.000000000
105,475.49884,2017-06-13T00:00:00.000000000
106,475.4108,2017-06-14T00:00:00.000000000
107,475.0703,2017-06-15T00:00:00.000000000
108,477.23047,2017-06-16T00:00:00.000000000
109,480.39694,2017-06-19T00:00:00.000000000
110,485.09482,2017-06-20T00:00:00.000000000
111,492.16284,2017-06-21T00:00:00.000000000
112,499.10413,2017-06-22T00:00:00.000000000
113,503.18774,2017-06-23T00:00:00.000000000
114,502.81604,2017-06-26T00:00:00.000000000
115,499.80438,2017-06-27T00:00:00.000000000
116,496.28403,2017-06-28T00:00:00.000000000
117,492.7441,2017-06-29T00:00:00.000000000
118,491.40994,2017-06-30T00:00:00.000000000
119,495.12793,2017-07-03T00:00:00.000000000
120,507.78223,2017-07-05T00:00:00.000000000
121,532.4597,2017-07-06T00:00:00.000000000
122,559.1891,2017-07-07T00:00:00.000000000
123,568.9308,2017-07-10T00:00:00.000000000
124,561.6462,2017-07-11T00:00:00.000000000
125,557.6641,2017-07-12T00:00:00.000000000
126,561.1845,2017-07-13T00:00:00.000000000
127,556.7713,2017-07-14T00:00:00.000000000
128,543.0516,2017-07-17T00:00:00.000000000
129,534.299,2017-07-18T00:00:00.000000000
130,534.0331,2017-07-19T00:00:00.000000000
131,535.81335,2017-07-20T00:00:00.000000000
132,535.5206,2017-07-21T00:00:00.000000000
133,534.87256,2017-07-24T00:00:00.000000000
134,537.00305,2017-07-25T00:00:00.000000000
135,537.86084,2017-07-26T00:00:00.000000000
136,533.1251,2017-07-27T00:00:00.000000000
137,526.71924,2017-07-28T00:00:00.000000000
138,522.99725,2017-07-31T00:00:00.000000000
139,521.3571,2017-08-01T00:00:00.000000000
140,519.2227,2017-08-02T00:00:00.000000000
141,515.7332,2017-08-03T00:00:00.000000000
142,512.62714,2017-08-04T00:00:00.000000000
143,510.23126,2017-08-07T00:00:00.000000000
144,507.13953,2017-08-08T00:00:00.000000000
145,504.09543,2017-08-09T00:00:00.000000000
146,502.38135,2017-08-10T00:00:00.000000000
147,502.18454,2017-08-11T00:00:00.000000000
148,500.14273,2017-08-14T00:00:00.000000000
149,495.38913,2017-08-15T00:00:00.000000000
150,490.43005,2017-08-16T00:00:00.000000000
151,485.61218,2017-08-17T00:00:00.000000000
152,479.60403,2017-08-18T00:00:00.000000000
153,472.89734,2017-08-21T00:00:00.000000000
154,467.94205,2017-08-22T00:00:00.000000000
155,464.68884,2017-08-23T00:00:00.000000000
156,461.0578,2017-08-24T00:00:00.000000000
157,457.1306,2017-08-25T00:00:00.000000000
158,454.79993,2017-08-28T00:00:00.000000000
159,454.24103,2017-08-29T00:00:00.000000000
160,453.43146,2017-08-30T00:00:00.000000000
161,451.98645,2017-08-31T00:00:00.000000000
162,451.173,2017-09-01T00:00:00.000000000
163,451.331,2017-09-05T00:00:00.000000000
164,451.98596,2017-09-06T00:00:00.000000000
165,452.96844,2017-09-07T00:00:00.000000000
166,454.8314,2017-09-08T00:00:00.000000000
167,456.4498,2017-09-11T00:00:00.000000000
168,456.50723,2017-09-12T00:00:00.000000000
169,455.63004,2017-09-13T00:00:00.000000000
170,455.08795,2017-09-14T00:00:00.000000000
171,455.63428,2017-09-15T00:00:00.000000000
172,456.32986,2017-09-18T00:00:00.000000000
173,458.77246,2017-09-19T00:00:00.000000000
174,464.00525,2017-09-20T00:00:00.000000000
175,468.50647,2017-09-21T00:00:00.000000000
176,471.756,2017-09-22T00:00:00.000000000
177,475.46335,2017-09-25T00:00:00.000000000
178,478.75995,2017-09-26T00:00:00.000000000
179,480.21808,2017-09-27T00:00:00.000000000
180,481.00302,2017-09-28T00:00:00.000000000
181,483.28564,2017-09-29T00:00:00.000000000
182,485.54538,2017-10-02T00:00:00.000000000
183,484.23874,2017-10-03T00:00:00.000000000
184,480.50494,2017-10-04T00:00:00.000000000
185,477.65497,2017-10-05T00:00:00.000000000
186,475.91458,2017-10-06T00:00:00.000000000
187,473.62335,2017-10-09T00:00:00.000000000
188,471.761,2017-10-10T00:00:00.000000000
189,470.87585,2017-10-11T00:00:00.000000000
190,469.71338,2017-10-12T00:00:00.000000000
191,467.55505,2017-10-13T00:00:00.000000000
192,465.03104,2017-10-16T00:00:00.000000000
193,463.81668,2017-10-17T00:00:00.000000000
194,464.1508,2017-10-18T00:00:00.000000000
195,464.43243,2017-10-19T00:00:00.000000000
196,463.83734,2017-10-20T00:00:00.000000000
197,463.2653,2017-10-23T00:00:00.000000000
198,462.72693,2017-10-24T00:00:00.000000000
199,462.25632,2017-10-25T00:00:00.000000000
200,462.8839,2017-10-26T00:00:00.000000000
201,464.02667,2017-10-27T00:00:00.000000000
202,464.14554,2017-10-30T00:00:00.000000000
203,462.92618,2017-10-31T00:00:00.000000000
204,460.99646,2017-11-01T00:00:00.000000000
205,458.17566,2017-11-02T00:00:00.000000000
206,454.63675,2017-11-03T00:00:00.000000000
207,452.51218,2017-11-06T00:00:00.000000000
