,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1261.0,19.195,568.25,94.95,174.5,3.229,3.2265,19.163,3.2275,176.0,19.126,590.0,3.3755,3.2255,19.223,1097.25,1244.3,1246.0,1243.0,98.23,95.93,19.262,556.25,1242.5,1243.6,176.25,96.85,175.0,559.75,1139.0,580.5,97.66,1245.0,176.25,1205.5,93.95
1,1268.5,19.186,570.0,93.87,175.75,3.2,3.1965,19.156,3.1975,176.0,19.12,592.75,3.3605,3.195,19.213,1104.5,1241.5,1252.0,1240.3,97.49,94.85,19.25,558.25,1239.8,1240.8,177.5,95.8,176.0,561.5,1144.5,582.75,96.71,1242.2,177.25,1210.5,92.9
2,1297.5,19.488,598.5,93.85,177.25,3.193,3.192,19.457,3.1910000000000003,176.0,19.422,621.25,3.2265,3.188,19.516,1110.5,1252.7,1279.5,1251.5,97.19,94.75,19.552,586.75,1251.2,1252.0,179.0,95.64,177.25,590.0,1160.0,611.25,96.46,1253.3,178.5,1233.5,92.97
3,1299.5,19.871,601.5,94.4,178.0,3.189,3.1865,19.841,3.187,179.0,19.805,624.0,3.197,3.1830000000000003,19.899,1112.5,1258.5,1280.75,1257.2,97.38,95.22,19.935,589.25,1256.9,1257.8,179.75,96.02,177.75,593.25,1162.25,614.25,96.76,1259.1,179.0,1236.5,93.56
4,1311.75,19.998,594.25,95.18,178.0,3.228,3.2245,19.966,3.225,180.0,19.928,617.0,3.1919999999999997,3.221,20.026,1118.5,1258.8,1292.75,1257.5,97.84,95.94,20.062,582.25,1257.2,1258.1,179.75,96.66,178.25,586.0,1170.0,607.0,97.32,1259.5,179.5,1246.0,94.37
5,1317.5,20.008,592.0,97.04,178.0,3.237,3.2365,19.975,3.235,180.75,19.936,614.25,3.1885,3.2335,20.036,1121.75,1264.6,1298.0,1263.3,99.88,97.84,20.072,579.25,1262.9,1263.9,180.25,98.62,178.75,583.75,1174.5,604.75,99.35,1265.3,180.25,1251.0,96.16
6,1312.25,20.186,598.25,96.99,178.0,3.2255,3.2255,20.152,3.224,179.25,20.112,620.75,3.2289999999999996,3.2235,20.215,1116.25,1276.3,1295.5,1275.1,100.06,97.81,20.251,585.0,1274.7,1275.6,180.5,98.65,177.5,589.75,1170.0,611.0,99.44,1277.0,178.75,1249.5,96.11
7,1309.75,20.407,599.5,97.59,176.5,3.2555,3.2505,20.375,3.2505,180.5,20.341,621.5,3.236,3.2465,20.435,1118.75,1296.1,1292.25,1295.1,100.37,98.37,20.47,586.25,1295.0,1295.5,179.25,99.17,177.25,590.75,1170.25,612.0,99.92,1296.8,179.0,1246.0,96.74
8,1330.5,20.461,606.25,97.75,176.25,3.25,3.2455,20.429,3.2455,180.0,20.395,628.25,3.2245,3.2415,20.489,1133.75,1301.3,1312.0,1300.3,100.35,98.54,20.524,594.0,1300.1,1300.7,179.0,99.31,177.25,597.5,1182.25,618.75,100.05,1302.0,178.5,1262.75,96.88
9,1325.0,21.487,608.75,97.95,176.5,3.2655,3.2605,21.456,3.2595,181.25,21.421,630.25,3.25,3.2555,21.515,1130.5,1319.9,1307.5,1318.8,100.3,98.73,21.55,596.25,1318.6,1319.3,179.0,99.47,178.75,600.5,1179.75,621.0,100.13,1320.6,180.5,1258.75,97.08
10,1347.75,21.963,619.5,99.4,178.25,3.2845,3.277,21.933000000000003,3.277,182.75,21.914,641.0,3.2645,3.2710000000000004,21.989,1138.0,1324.6,1330.25,1324.4,102.43,100.3,22.024,607.5,1324.6,1325.0,181.25,101.21,180.5,611.25,1193.5,631.5,102.1,1325.0,182.0,1277.0,98.45
11,1390.0,21.383000000000006,604.0,98.57,178.0,3.201,3.194,21.352,3.2005,185.0,21.333,625.5,3.2855,3.1945,21.407,1155.5,1332.3,1366.75,1331.8,102.4,99.61,21.442,589.25,1331.8,1332.1,181.75,100.63,182.25,595.75,1216.25,616.25,101.62,1332.6,183.5,1313.0,97.55
12,1414.0,21.273000000000003,616.5,98.93,177.0,3.1875,3.1805,21.241,3.185,183.75,21.222,638.75,3.221,3.1805,21.299,1169.25,1322.2,1385.25,1321.6,102.59,99.96,21.334,602.25,1321.6,1321.9,180.5,100.95,180.75,608.25,1233.75,629.0,101.89,1322.6,182.25,1331.0,97.91
13,1409.25,21.517,643.25,100.85,181.75,3.172,3.167,21.485,3.1705,188.0,21.466,662.25,3.2105,3.1675,21.544,1171.5,1350.9,1381.5,1350.3,104.92,102.03,21.58,631.5,1350.3,1350.6,185.25,103.16,186.0,635.75,1235.75,655.25,104.22,1351.3,186.5,1330.75,99.69
14,1423.0,21.254,654.5,99.52,181.75,3.2145,3.21,21.222,3.2135,188.25,21.205,673.5,3.1919999999999997,3.2110000000000003,21.281,1181.25,1338.5,1396.5,1337.9,103.33,100.65,21.318,643.5,1337.9,1338.2,185.0,101.71,186.25,647.0,1247.75,666.75,102.68,1338.9,187.25,1345.0,98.4
15,1438.0,21.606,657.0,98.23,187.25,3.218,3.215,21.574,3.219,191.0,21.558000000000003,675.25,3.2325,3.217,21.633000000000006,1186.0,1352.4,1409.5,1352.2,101.56,99.2,21.67,646.0,1351.8,1352.1,187.0,100.14,188.25,649.5,1251.25,668.75,101.02,1352.8,189.5,1358.25,97.27
16,1457.75,20.959,666.25,99.12,189.25,3.0825,3.079,20.928,3.084,192.0,20.912,683.75,3.24,3.0815,20.986,1187.25,1338.8,1424.75,1338.6,102.58,100.1,21.023000000000003,654.0,1338.2,1338.5,188.5,101.07,189.5,659.0,1255.5,678.0,101.99,1339.2,190.75,1373.0,98.13
17,1418.75,20.943,654.25,97.97,187.75,3.0315,3.03,20.91,3.0335,190.75,20.894,671.5,3.114,3.032,20.971,1176.5,1342.2,1394.25,1341.9,101.12,98.86,21.007,640.75,1341.5,1341.8,187.0,99.75,187.75,646.0,1235.5,665.5,100.59,1342.5,188.5,1345.75,97.06
18,1413.0,20.848000000000006,672.75,97.31,187.75,2.952,2.95,20.815,2.954,192.0,20.797,689.25,3.065,2.954,20.876,1189.5,1347.4,1391.25,1347.1,100.03,98.07,20.912,659.0,1346.7,1347.0,188.0,98.85,189.0,664.25,1247.75,684.0,99.59,1347.8,189.75,1350.75,96.53
19,1387.0,21.393,696.75,95.78,190.0,2.962,2.958,21.358,2.962,194.25,21.339,712.0,2.989,2.9610000000000003,21.422,1176.25,1371.0,1368.5,1370.7,97.99,96.44,21.459,683.75,1370.5,1370.7,189.75,97.09,191.0,688.25,1234.25,707.0,97.68,1371.4,192.0,1329.25,95.08
20,1388.5,21.448,698.25,96.6,191.25,2.9505,2.944,21.413,2.949,196.75,21.394,712.75,2.9825,2.9465,21.477,1174.5,1379.5,1371.75,1379.2,98.89,97.31,21.515,687.25,1379.0,1379.2,191.5,97.99,193.0,690.25,1232.25,707.75,98.56,1379.9,194.25,1333.25,95.86
21,1375.25,21.31,696.0,95.45,188.75,2.952,2.947,21.275,2.952,195.75,21.257,702.5,2.9810000000000003,2.9495,21.338,1179.75,1373.4,1336.5,1373.1,98.08,96.2,21.376,678.25,1372.9,1373.1,189.75,96.95,191.5,686.25,1175.75,701.5,97.62,1373.8,193.25,1234.5,94.7
22,1395.75,20.896,712.0,96.2,189.5,2.9515,2.947,20.862,2.952,195.5,20.844,717.5,2.9789999999999996,2.9495,20.923,1189.0,1359.4,1348.25,1359.1,99.7,97.09,20.961,695.5,1359.0,1359.1,189.5,98.01,191.25,702.75,1184.5,717.25,98.88,1359.8,193.0,1246.5,95.33
