,Daily_Return,Day_Since_EMA100Cross,Day_Since_EMA10Cross,Day_Since_EMA12Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_SMA100Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA5Cross,EMA10,EMA100,EMA100Cross,EMA10Cross,EMA12,EMA12Cross,EMA20,EMA20Cross,EMA26,EMA26Cross,EMA50,EMA50Cross,MACD,MACD_Cross,SMA10,SMA100,SMA100Cross,SMA10Cross,SMA15,SMA15Cross,SMA20,SMA20Cross,SMA5,SMA50,SMA50Cross,SMA5Cross,Settle_Price,Time,Up-Down10,Up-Down100,Up-Down15,Up-Down20,Up-Down5,Up-Down50,Volume
2014-01-30,0.0,0.0,13.0,13.0,13.0,20.0,20.0,0.0,13.0,13.0,13.0,20.0,6.0,176.15397396584035,180.9525,1.0,0.0,176.26234035494483,0.0,176.83797408571914,0.0,177.29934455768037,0.0,178.68241539740134,0.0,0.1526849991252659,0.0,176.025,180.9525,1.0,0.0,176.26666666666668,0.0,176.5,0.0,176.0,179.79,0.0,0.0,176.0,1188,10.0,0.0,10.0,12.0,8.0,18.0,0.0
2014-01-31,0.0,1.0,14.0,14.0,14.0,21.0,21.0,1.0,14.0,14.0,14.0,21.0,7.0,176.12597869932392,180.8544306930693,0.0,0.0,176.22198030033792,0.0,176.75816702993637,0.0,177.203096812667,0.0,178.57722263671894,0.0,0.1668581516253731,0.0,176.025,180.935,0.0,0.0,176.26666666666668,0.0,176.5,0.0,176.0,179.64,0.0,0.0,176.0,1187,10.0,32.0,12.0,14.0,8.0,20.0,0.0
2014-02-01,0.0,2.0,15.0,15.0,15.0,22.0,22.0,2.0,15.0,15.0,15.0,22.0,8.0,176.10307348126503,180.75830335261247,0.0,0.0,176.18782948490133,0.0,176.6859606461329,0.0,177.11397853024724,0.0,178.4761550823378,0.0,0.17746049488684723,0.0,176.025,180.895,0.0,0.0,176.01666666666668,0.0,176.3,0.0,176.0,179.49,0.0,0.0,176.0,1186,10.0,32.0,12.0,14.0,8.0,20.0,0.0
2014-02-02,0.0,3.0,16.0,16.0,16.0,23.0,23.0,3.0,16.0,16.0,16.0,23.0,9.0,176.08433284830775,180.66407952384787,0.0,0.0,176.15893264107035,0.0,176.62063106078693,0.0,177.03146160208078,0.0,178.37905096146181,0.0,0.18486446337786,0.0,176.025,180.8425,0.0,0.0,176.01666666666668,0.0,176.2,0.0,176.0,179.34,0.0,0.0,176.0,1185,10.0,32.0,14.0,14.0,8.0,20.0,0.0
2014-02-03,0.0,4.0,17.0,17.0,17.0,24.0,24.0,4.0,17.0,17.0,17.0,24.0,10.0,176.06899960316088,180.57172151347464,0.0,0.0,176.13448146552108,0.0,176.561523340712,0.0,176.95505703896367,0.0,178.28575484532607,0.0,0.1894542807565558,0.0,176.0,180.7975,0.0,0.0,176.01666666666668,0.0,176.2,0.0,176.0,179.18,0.0,0.0,176.0,1184,10.0,34.0,16.0,14.0,8.0,20.0,0.0
2014-02-04,0.017045454545454544,5.0,18.0,18.0,18.0,25.0,25.0,5.0,18.0,18.0,18.0,25.0,11.0,176.056454220768,180.48119237459395,0.0,0.0,176.11379200928707,0.0,176.50804492731086,0.0,176.8843120731145,0.0,178.1961174004113,0.0,0.191607832297375,0.0,176.0,180.7525,0.0,0.0,176.01666666666668,0.0,176.2,0.0,176.0,178.995,0.0,0.0,176.0,1183,10.0,34.0,16.0,16.0,10.0,20.0,0.0
2014-02-05,0.00558659217877095,6.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,12.0,176.59164436244654,180.45186183252278,0.0,-1.0,176.5578240078583,-1.0,176.74537398185268,-1.0,177.04102969732824,-1.0,178.2276422082383,-1.0,0.3831377653238943,0.0,176.0,180.68,0.0,0.0,176.01666666666668,-1.0,176.2,-1.0,176.0,178.825,-1.0,0.0,179.0,1182,10.0,34.0,16.0,16.0,10.0,22.0,0.0
2014-02-06,0.004166666666666667,7.0,1.0,1.0,1.0,1.0,1.0,7.0,20.0,1.0,1.0,1.0,13.0,177.21134538745628,180.44291407346293,0.0,0.0,177.08738954511088,0.0,177.05533836453338,0.0,177.26021268271134,0.0,178.29714643536622,0.0,0.5548162537546999,0.0,176.3,180.6425,0.0,0.0,176.21666666666667,0.0,176.1625,0.0,176.6,178.73,0.0,0.0,180.0,1181,12.0,36.0,16.0,18.0,10.0,24.0,1.0
2014-02-07,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,21.0,2.0,2.0,2.0,14.0,177.8547371351915,180.4489949828993,-1.0,0.0,177.6508680766323,0.0,177.4072109012445,0.0,177.51871544695496,0.0,178.3933367712342,0.0,0.6878336168259965,0.0,176.7,180.6225,-1.0,0.0,176.48333333333332,0.0,176.3625,0.0,177.4,178.665,0.0,0.0,180.75,1180,12.0,38.0,18.0,18.0,10.0,26.0,0.0
2014-02-08,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,22.0,3.0,3.0,3.0,15.0,178.38114856515668,180.45495547828745,0.0,0.0,178.12765760330424,0.0,177.72557176779264,0.0,177.75806985829163,0.0,178.48575493706815,0.0,0.7402149857290159,0.0,177.175,180.605,0.0,0.0,176.78333333333333,0.0,176.6,0.0,178.35,178.615,0.0,0.0,180.75,1179,12.0,38.0,18.0,20.0,10.0,26.0,0.0
