,Daily_Return,Day_Since_EMA100Cross,Day_Since_EMA10Cross,Day_Since_EMA12Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_SMA100Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA5Cross,EMA10,EMA100,EMA100Cross,EMA10Cross,EMA12,EMA12Cross,EMA20,EMA20Cross,EMA26,EMA26Cross,EMA50,EMA50Cross,MACD,MACD_Cross,SMA10,SMA100,SMA100Cross,SMA10Cross,SMA15,SMA15Cross,SMA20,SMA20Cross,SMA5,SMA50,SMA50Cross,SMA5Cross,Settle_Price,Time,Up-Down10,Up-Down100,Up-Down15,Up-Down20,Up-Down5,Up-Down50,Volume
1983-08-22,0.0,101.0,3.0,3.0,2.0,2.0,1.0,101.0,4.0,3.0,2.0,1.0,4.0,31.556351667499456,30.631500000000003,0.0,0.0,31.58071528273794,0.0,31.58320412732666,0.0,31.537572926823046,0.0,31.276837406406163,0.0,-0.11421069097628461,0.0,31.740999999999996,30.631500000000003,0.0,0.0,31.794,0.0,31.701000000000004,0.0,31.648000000000003,31.287399999999998,0.0,0.0,31.1,8973,-2.0,0.0,2.0,0.0,-4.0,10.0,0.0
1983-08-23,0.0,102.0,4.0,4.0,3.0,3.0,2.0,102.0,5.0,4.0,3.0,2.0,5.0,31.47337863704501,30.640777227722776,0.0,0.0,31.506759085393643,0.0,31.537184686628883,0.0,31.505160117428748,0.0,31.26990260615494,0.0,-0.12460326314102771,0.0,31.666000000000004,30.653499999999998,0.0,0.0,31.744000000000003,0.0,31.6935,0.0,31.48,31.301,0.0,0.0,31.1,8972,-4.0,18.0,2.0,0.0,-4.0,8.0,0.0
1983-08-24,0.0016077170418005516,103.0,5.0,5.0,4.0,4.0,3.0,103.0,6.0,5.0,4.0,3.0,6.0,31.405491612127737,30.64987074796589,0.0,0.0,31.444180764563853,0.0,31.495548049807084,0.0,31.47514825687847,0.0,31.263239758854745,0.0,-0.12573577873643135,0.0,31.606000000000005,30.6775,0.0,0.0,31.694000000000006,0.0,31.684500000000003,0.0,31.330000000000002,31.309999999999995,0.0,0.0,31.1,8971,-4.0,20.0,2.0,0.0,-2.0,8.0,0.0
1983-08-25,0.0032102728731942675,104.0,6.0,6.0,5.0,5.0,4.0,104.0,7.0,6.0,5.0,4.0,7.0,31.359038591740877,30.659774297511117,0.0,0.0,31.398922185400185,0.0,31.462638711730218,0.0,31.451063200813397,0.0,31.258798983997696,0.0,-0.11752744146802233,0.0,31.526000000000003,30.698999999999998,0.0,0.0,31.64733333333334,0.0,31.667,0.0,31.2,31.318999999999996,0.0,0.0,31.15,8970,-2.0,20.0,2.0,0.0,-2.0,8.0,0.0
1983-08-26,-0.0016000000000000228,105.0,7.0,7.0,6.0,6.0,5.0,105.0,8.0,7.0,6.0,5.0,0.0,31.339213393242535,30.671461935184166,0.0,0.0,31.376011079954,0.0,31.44238740585115,0.0,31.436169630382775,0.0,31.258453925801707,0.0,-0.10043598118686695,0.0,31.456,30.7205,0.0,0.0,31.590666666666667,0.0,31.6505,0.0,31.130000000000003,31.325,0.0,-1.0,31.25,8969,0.0,20.0,2.0,2.0,0.0,8.0,0.0
1983-08-29,0.0,106.0,8.0,8.0,7.0,7.0,6.0,106.0,9.0,8.0,7.0,6.0,1.0,31.31390186719844,30.681928035477547,0.0,0.0,31.34893245226877,0.0,31.419302891008183,0.0,31.418675583687754,0.0,31.256161614985952,0.0,-0.08801644974166224,0.0,31.394,30.741999999999997,0.0,0.0,31.540666666666667,0.0,31.6305,0.0,31.140000000000004,31.331000000000003,0.0,0.0,31.2,8968,0.0,20.0,2.0,4.0,0.0,8.0,0.0
1983-08-30,-0.003205128205128137,107.0,9.0,9.0,8.0,8.0,7.0,107.0,10.0,9.0,8.0,7.0,2.0,31.293192436798723,30.69218688626017,0.0,0.0,31.326019767304345,0.0,31.398416901388355,0.0,31.402477392303478,0.0,31.253959198711993,0.0,-0.07578475465744818,0.0,31.32,30.7605,0.0,0.0,31.497333333333337,0.0,31.598000000000003,0.0,31.159999999999997,31.337999999999997,0.0,0.0,31.2,8967,0.0,18.0,0.0,4.0,-2.0,8.0,0.0
1983-08-31,-0.0016077170418006658,108.0,10.0,10.0,9.0,9.0,8.0,108.0,11.0,10.0,9.0,8.0,0.0,31.258066539198957,30.70026239346294,0.0,0.0,31.29124749541137,0.0,31.369996244113274,0.0,31.380071659540256,0.0,31.247921583076227,0.0,-0.07052103502976195,0.0,31.254999999999995,30.7745,0.0,0.0,31.464000000000002,0.0,31.565500000000004,0.0,31.18,31.342,0.0,1.0,31.1,8966,0.0,18.0,0.0,6.0,0.0,8.0,2.0
1983-09-01,0.0,109.0,11.0,11.0,10.0,10.0,9.0,109.0,12.0,11.0,10.0,9.0,1.0,31.220236259344603,30.707187890622087,0.0,0.0,31.25413249611731,0.0,31.33952041134058,0.0,31.355621906981717,0.0,31.240159952367357,0.0,-0.06654902541222499,0.0,31.190000000000005,30.787999999999997,0.0,0.0,31.410666666666668,0.0,31.530500000000007,0.0,31.18,31.349,0.0,0.0,31.05,8965,-2.0,18.0,0.0,4.0,0.0,8.0,0.0
1983-09-02,-0.005797101449275353,110.0,12.0,12.0,11.0,11.0,10.0,110.0,13.0,12.0,11.0,10.0,2.0,31.189284212191037,30.71397624922363,0.0,0.0,31.222727496714647,0.0,31.311947038831953,0.0,31.332983247205295,0.0,31.23270269933334,0.0,-0.060252292030773105,0.0,31.145000000000003,30.794999999999995,0.0,0.0,31.357333333333333,0.0,31.483000000000004,0.0,31.160000000000004,31.356999999999992,0.0,0.0,31.05,8964,-2.0,16.0,-2.0,2.0,0.0,8.0,0.0
1983-09-06,0.0009718172983478323,111.0,13.0,13.0,12.0,12.0,11.0,111.0,14.0,13.0,12.0,11.0,3.0,31.13123253724721,30.717065828446927,0.0,0.0,31.168461727989317,0.0,31.269856844657482,0.0,31.298688191856755,0.0,31.218479064065367,0.0,-0.06417840432605006,0.0,31.130000000000003,30.8015,0.0,0.0,31.302666666666667,0.0,31.435499999999998,0.0,31.119999999999997,31.363000000000003,0.0,0.0,30.87,8963,0.0,16.0,-2.0,2.0,2.0,8.0,0.0
