,Daily_Return,EMA10,EMA100,EMA100Cross,EMA10Cross,EMA12,EMA12Cross,EMA20,EMA20Cross,EMA26,EMA26Cross,EMA50,EMA50Cross,MACD,MACD_Cross,SMA10,SMA100,SMA100Cross,SMA10Cross,SMA15,SMA15Cross,SMA20,SMA20Cross,SMA5,SMA50,SMA50Cross,SMA5Cross,Settle_Price,Time,Volume
27/5/1975,-0.010331702,181.5855502,186.957,1,0,181.1090209,0,180.1725659,0,180.1316757,0,181.6640539,0,1.213194961,0,180.06,186.957,1,0,178.7933333,0,178.425,0,182.46,181.382,0,0,183.9,101,54
28/5/1975,-0.013186813,181.6609047,186.8588416,0,0,181.2460946,0,180.3466073,0,180.27007,0,181.6772283,0,0.969499422,0,180.8,186.779,0,0,179.4466667,0,178.76,0,183.32,181.238,0,1,182,102,14
29/5/1975,-0.006124722,181.2861947,186.7151021,0,1,180.9928493,1,180.2755018,1,180.2204352,1,181.5957683,1,0.612711137,0,181.26,186.682,0,1,179.8866667,1,178.925,0,183.94,181.062,1,0,179.6,103,17
30/5/1975,-0.022969188,180.7796139,186.5524269,0,0,180.609334,0,180.1064064,0,180.0929956,0,181.4743656,0,0.285308411,0,181.22,186.573,0,0,180.08,0,179.02,1,183.28,180.844,0,0,178.5,104,6
2/6/1975,0.012041284,179.6196841,186.3117847,0,0,179.6540518,0,179.5629391,0,179.6712922,0,181.1969395,0,-0.198616291,-1,181.4,186.47,0,0,180.12,0,179.075,0,182.04,180.592,0,0,174.4,105,28
3/6/1975,-0.009065156,179.0524688,186.117492,0,0,179.1688131,0,179.2712306,0,179.4363817,0,181.0127458,0,-0.359155601,0,181.07,186.333,0,0,179.9333333,0,179.015,0,179.68,180.332,0,0,176.5,106,11
4/6/1975,0.010291595,178.2974745,185.8953634,0,0,178.5120726,0,178.8549229,0,179.1003534,0,180.7730303,0,-0.543894244,0,180.76,186.172,0,0,179.9333333,0,179.135,0,178.2,180.112,0,0,174.9,107,21
5/6/1975,-0.002829655,178.0070246,185.713277,0,0,178.2332922,0,178.6496922,0,178.9225494,0,180.6133036,0,-0.515896552,0,180.36,185.991,0,0,179.7666667,0,179.11,0,176.78,179.852,0,0,176.7,108,7
6/6/1975,0.007945516,177.6784746,185.5248953,0,0,177.920478,0,178.4163882,0,178.7208791,0,180.4402329,0,-0.501632328,0,179.74,185.8,0,0,179.5466667,0,179.11,0,176.2,179.62,0,0,176.2,109,2
9/6/1975,-0.006756757,177.6642065,185.3679667,0,0,177.8711737,0,178.3386369,0,178.637851,0,180.3288512,0,-0.374326845,0,178.89,185.628,0,0,179.5133333,0,179.025,0,175.74,179.332,0,0,177.6,110,2
10/6/1975,-0.001133787,177.4343508,185.1903832,0,0,177.6448393,0,178.1540048,0,178.4720843,0,180.1747786,0,-0.347915616,0,178.03,185.472,0,0,179.5066667,0,179.045,0,176.38,179.118,0,0,176.4,111,13
11/6/1975,-0.003972758,177.2099234,185.0123558,0,0,177.4225563,0,177.9679091,0,178.3037817,0,180.018905,0,-0.321516836,0,177.28,185.316,0,0,179.2933333,0,179.04,0,176.36,178.86,0,1,176.2,112,3
12/6/1975,-0.003418803,176.8990282,184.8239923,0,0,177.1267784,0,177.7328702,0,178.0960942,0,179.841693,0,-0.327685756,0,176.7,185.181,0,0,179.1133333,0,178.98,0,176.62,178.606,0,0,175.5,113,5
13/6/1975,-0.008576329,176.5355685,184.6274776,0,0,176.7841971,0,177.463073,0,177.8593465,0,179.6479011,0,-0.346815467,0,176.29,185.069,0,0,178.62,0,178.755,0,176.38,178.358,0,0,174.9,114,179
16/6/1975,0.00922722,175.9654652,184.4051513,0,0,176.2635514,0,177.0761137,0,177.5290245,0,179.4028854,0,-0.429711374,0,175.93,184.91,0,0,177.9666667,0,178.665,0,176.12,178.122,0,0,173.4,115,3
17/6/1975,-0.003428571,175.789926,184.2189107,0,0,176.0691589,0,176.8783886,0,177.3416894,0,179.2302232,0,-0.349415,0,175.83,184.761,0,0,177.1133333,0,178.45,0,175.28,177.932,0,0,175,116,14
18/6/1975,-0.005733945,175.5372122,184.0244768,0,0,175.8123652,0,176.6423516,0,177.1237865,0,179.0408027,0,-0.310644607,0,175.68,184.622,0,0,176.52,0,178.22,0,175,177.768,0,0,174.4,117,27
19/6/1975,0.000576701,175.1486282,183.8140911,0,0,175.4412321,0,176.3335562,0,176.8479504,0,178.8195947,0,-0.324753347,0,175.63,184.457,0,0,176.0133333,0,177.995,0,174.64,177.58,0,0,173.4,118,3
20/6/1975,-0.004610951,174.8488776,183.6098517,0,0,175.142581,0,176.0636937,0,176.5999541,0,178.6109832,0,-0.30032649,0,175.3,184.249,0,0,175.6,0,177.52,0,174.22,177.374,0,0,173.5,119,8
23/6/1975,0.008685582,174.4581726,183.393815,0,0,174.7667993,0,175.7433419,0,176.3110686,0,178.3791799,0,-0.309778156,0,175.03,184.07,0,0,175.2666667,0,176.96,0,173.94,177.206,0,0,172.7,120,15
24/6/1975,0.012629162,174.4112321,183.2117593,0,0,174.6795994,0,175.596357,0,176.1546932,0,178.2152905,0,-0.192482079,0,174.54,183.891,0,0,175.1533333,0,176.285,0,173.8,177.03,0,-1,174.2,121,31
