,Settle_Price,Daily_Return,5-day Return,Volume,SMA5,SMA10,SMA15,SMA20,SMA50,SMA100,EMA10,EMA12,EMA20,EMA26,EMA50,EMA100,MACD,MACD_Cross,SMA5Cross,SMA10Cross,SMA15Cross,SMA20Cross,SMA50Cross,SMA100Cross,EMA12Cross,EMA10Cross,EMA20Cross,EMA26Cross,EMA50Cross,EMA100Cross,Up-Down5,Up-Down10,Up-Down15,Up-Down20,Up-Down50,Up-Down100,Day_Since_SMA5Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA100Cross,Day_Since_EMA12Cross,Day_Since_EMA10Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_EMA100Cross
1983-08-22,31.5,0.004761904761904716,0.004761904761904716,131.0,31.839999999999996,31.909000000000002,31.974,31.8945,31.516000000000005,30.8609,31.78893298697539,31.80472758162714,31.795122073237632,31.74907501644752,31.494785317833674,30.8609,-0.0880587358039723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-2.0,-4.0,4.0,0.0,3.0,4.0,3.0,2.0,0.0,101.0,3.0,3.0,2.0,2.0,101.0,101.0
1983-08-23,31.65,-0.003159557661927263,0.0006319115323855649,147.0,31.73,31.860000000000003,31.932666666666666,31.8995,31.533399999999997,30.882400000000004,31.763672443888954,31.78092333829989,31.781300923405478,31.741736126340296,31.500872168114707,30.87652574257426,-0.08361927121919994,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-2.0,-4.0,2.0,0.0,4.0,5.0,4.0,3.0,0.0,102.0,4.0,4.0,3.0,3.0,102.0,102.0
1983-08-24,31.55,0.004754358161648133,0.0006339144215530768,307.0,31.660000000000004,31.837,31.901333333333334,31.9065,31.5484,30.9065,31.724822908636416,31.745396670869138,31.759272264033527,31.72753345031509,31.502798749757268,30.88986186648368,-0.08395461009979593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-2.0,-2.0,2.0,2.0,5.0,6.0,5.0,4.0,1.0,103.0,5.0,5.0,4.0,4.0,103.0,103.0
1983-08-25,31.7,0.0015772870662460793,-0.006940063091482614,547.0,31.586000000000002,31.785000000000004,31.864,31.899999999999995,31.561200000000003,30.929500000000004,31.720309652520704,31.7384125676585,31.753627286506525,31.725493935476933,31.510532132119728,30.90590420576123,-0.07111935877782191,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,104.0,6.0,6.0,5.0,5.0,104.0,104.0
1983-08-26,31.75,-0.003149606299212643,-0.008503937007874003,193.0,31.6,31.758999999999997,31.838,31.896499999999996,31.571199999999997,30.9511,31.72570789751694,31.740195249557193,31.75328183064876,31.72730919951568,31.519923028899345,30.922618973963978,-0.056921552734301065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-4.0,-4.0,0.0,0.0,1.0,8.0,7.0,6.0,3.0,105.0,0.0,0.0,6.0,0.0,105.0,105.0
1983-08-29,31.65,0.0006319115323855649,-0.012954186413902058,117.0,31.630000000000003,31.735000000000003,31.816,31.887999999999998,31.580400000000004,30.971799999999998,31.711942825241135,31.726319057317625,31.74344546582507,31.72158259214415,31.525024086589568,30.93702255863796,-0.0520569100818698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-4.0,-2.0,0.0,0.0,2.0,9.0,8.0,7.0,4.0,106.0,0.0,0.0,7.0,0.0,106.0,106.0
1983-08-30,31.67,-0.0031575623618566914,-0.012314493211240939,115.0,31.660000000000004,31.695,31.793333333333333,31.8645,31.587600000000002,30.987799999999996,31.704316857015474,31.717654586961068,31.736450659556013,31.717761659392732,31.53070941652723,30.951536963417407,-0.045520358149607934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-6.0,-2.0,-2.0,-2.0,3.0,10.0,9.0,8.0,5.0,107.0,1.0,1.0,8.0,1.0,107.0,107.0
1983-08-31,31.57,-0.002850807728856505,-0.010769718086791252,163.0,31.663999999999998,31.662,31.779333333333334,31.842000000000002,31.595000000000006,31.0015,31.67989561028539,31.694938496659365,31.720598215788772,31.706816351289568,31.53225022372224,30.963783756221023,-0.045832912278517636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-6.0,0.0,-2.0,-2.0,0.0,11.0,10.0,9.0,0.0,108.0,2.0,2.0,9.0,2.0,108.0,108.0
1983-09-01,31.48,0.0,-0.010482846251588369,214.0,31.668,31.627,31.746,31.814999999999998,31.605999999999998,31.015700000000002,31.643550953869862,31.661871035634846,31.697684099999364,31.690015140082934,31.530201195340975,30.97400586005823,-0.049679329677122415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-4.0,-6.0,-2.0,-2.0,-2.0,1.0,12.0,11.0,10.0,1.0,109.0,3.0,3.0,10.0,3.0,0.0,109.0
1983-09-02,31.48,-0.007623888182973379,-0.014294790343074945,58.0,31.623999999999995,31.612000000000005,31.714,31.7845,31.619599999999995,31.022500000000004,31.613814416802615,31.63389087630641,31.676952280951806,31.674458463039755,31.528232521013877,30.98402554599767,-0.04968224956990364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,-4.0,-2.0,-4.0,2.0,13.0,12.0,11.0,2.0,110.0,4.0,4.0,11.0,4.0,1.0,110.0
1983-09-06,31.24,0.001280409731114043,-0.0019206145966708939,290.0,31.57,31.600000000000005,31.680000000000003,31.7545,31.630200000000006,31.03,31.54584815920214,31.573292279951577,31.635337778004015,31.64227635466644,31.516929284895685,30.989094347067024,-0.062478990041136134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-4.0,-2.0,-2.0,3.0,14.0,13.0,12.0,3.0,111.0,5.0,5.0,12.0,5.0,2.0,111.0
1983-09-07,31.28,-0.0015984654731458028,0.0028772378516623994,321.0,31.488,31.574,31.626,31.717000000000006,31.632999999999996,31.035999999999998,31.497512130256297,31.528170390728256,31.601496084860777,31.615441069135592,31.507637940389973,30.994854855045894,-0.06461247498688777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,-4.0,-2.0,4.0,15.0,14.0,13.0,4.0,112.0,6.0,6.0,13.0,6.0,3.0,112.0
1983-09-08,31.23,-0.0025616394492475776,0.008325328210054371,393.0,31.410000000000004,31.537,31.578000000000007,31.687,31.637600000000003,31.0448,31.448873561118788,31.48229802292391,31.566115505350226,31.58688987882925,31.49675017802174,30.999511194549935,-0.06554692198791395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-6.0,-2.0,0.0,5.0,16.0,15.0,14.0,5.0,113.0,7.0,7.0,14.0,7.0,4.0,113.0
1983-09-09,31.15,-0.003852327447832984,0.011235955056179822,568.0,31.342000000000002,31.505000000000006,31.532,31.645,31.640199999999997,31.0506,31.394532913642646,31.431175250166387,31.526485457221632,31.55452766558264,31.483152131824806,31.002491170895482,-0.06744598519906124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-8.0,-4.0,-2.0,6.0,17.0,16.0,15.0,6.0,114.0,8.0,8.0,15.0,8.0,5.0,114.0
1983-09-12,31.03,0.004834031582339625,0.012568482114083164,304.0,31.276,31.45,31.500000000000007,31.604499999999994,31.642200000000003,31.0557,31.328254202071257,31.36945598091002,31.47920112796243,31.51567376442837,31.46538145998854,31.00303590018468,-0.0722490826409285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,-8.0,-4.0,-2.0,7.0,18.0,17.0,16.0,7.0,0.0,9.0,9.0,16.0,9.0,6.0,115.0
1983-09-13,31.18,0.006093649775497155,0.0032071840923669475,392.0,31.186,31.377999999999997,31.462000000000003,31.5565,31.6386,31.059700000000003,31.301298892603757,31.340308906923863,31.4507057824422,31.490809041137382,31.454190030185067,31.006540139784985,-0.06122514666887642,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-6.0,-8.0,-6.0,-2.0,8.0,19.0,18.0,17.0,8.0,0.0,10.0,10.0,17.0,10.0,7.0,116.0
1983-09-14,31.37,0.0038253108065029466,-0.0006375518010838245,452.0,31.174,31.331,31.440666666666665,31.512999999999995,31.6382,31.0646,31.313790003039436,31.344876767397114,31.443019517447706,31.481860223275355,31.45088846037389,31.013737364739736,-0.03816677466687818,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-6.0,-6.0,-4.0,-2.0,0.0,0.0,19.0,18.0,9.0,1.0,0.0,0.0,18.0,11.0,8.0,117.0
1983-09-15,31.49,0.0003175611305176743,-0.007621467132422942,267.0,31.192,31.301,31.422,31.481499999999993,31.642999999999997,31.0711,31.34582818430499,31.36720341856679,31.447493849119354,31.482463169699404,31.45242224624158,31.023168308012217,-0.013154455937002443,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-2.0,-4.0,-4.0,-2.0,-2.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,118.0
1983-09-16,31.5,-0.0025396825396824855,-0.007301587301587315,150.0,31.244,31.293,31.418000000000003,31.459999999999997,31.6508,31.0779,31.373859423522266,31.387633661864207,31.45249443491751,31.483762194166115,31.454288040506615,31.032610519734746,0.004781410314964457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,2.0,2.0,1.0,1.0,11.0,3.0,2.0,2.0,1.0,1.0,1.0,119.0
1983-09-19,31.42,-0.0044557606619987445,-0.007001909611712362,253.0,31.314,31.294999999999998,31.404666666666667,31.4535,31.656399999999998,31.08609999999999,31.38224861924549,31.392613098500483,31.44939972683013,31.47903906867233,31.45294341146714,31.04028159855188,0.01158717795602146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,3.0,3.0,2.0,0.0,12.0,4.0,3.0,3.0,0.0,0.0,0.0,120.0
1983-09-20,31.28,0.002237851662404101,-0.005434782608695707,354.0,31.391999999999996,31.288999999999998,31.38266666666667,31.444499999999998,31.659000000000006,31.092599999999997,31.363657961200857,31.375288006423485,31.433266419512975,31.46429543395586,31.4461613168998,31.045028497590454,0.007204576476392416,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,13.0,5.0,0.0,0.0,1.0,1.0,1.0,121.0
1983-09-21,31.35,-0.003189792663476919,-0.01818181818181819,932.0,31.412,31.292999999999996,31.358,31.4335,31.6554,31.098000000000003,31.361174695527975,31.371397543896794,31.425336284321265,31.455829105514688,31.442390284864516,31.05106753724213,0.009424353912699801,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-2.0,1.0,0.0,1.0,2.0,14.0,6.0,1.0,1.0,2.0,2.0,2.0,122.0
1983-09-22,31.25,0.0006399999999999864,-0.020799999999999954,533.0,31.407999999999998,31.3,31.33666666666667,31.418499999999995,31.6514,31.105600000000003,31.340961114522887,31.352720998681903,31.408637590576383,31.440582505106192,31.434845567811006,31.055006793930403,0.004795527285043469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,0.0,2.0,0.0,2.0,3.0,15.0,7.0,2.0,2.0,3.0,3.0,3.0,123.0
1983-09-23,31.27,-0.002238567316917182,-0.030060761112887795,233.0,31.360000000000003,31.302,31.315333333333335,31.403499999999998,31.640399999999996,31.112900000000003,31.328059093700546,31.33999469119238,31.39543401052149,31.427946763987215,31.428381035739985,31.059264085139702,0.003763968731598552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,0.0,3.0,1.0,3.0,4.0,16.0,8.0,3.0,3.0,4.0,4.0,4.0,124.0
1983-09-26,31.2,-0.00288461538461538,-0.04455128205128207,281.0,31.314000000000004,31.314,31.301333333333332,31.381999999999998,31.6302,31.121300000000005,31.30477562211863,31.318457046393554,31.376821247614682,31.41106181850668,31.41942491669136,31.062050934938917,-0.0007109844693549694,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,-4.0,2.0,4.0,2.0,4.0,5.0,17.0,9.0,4.0,4.0,5.0,5.0,5.0,125.0
1983-09-27,31.11,-0.010607521697203416,-0.033108325297332084,185.0,31.27,31.331,31.282666666666664,31.3545,31.6208,31.1306,31.269361872642516,31.286386731563777,31.351409700222806,31.38876094306174,31.407290606232873,31.06300042137577,-0.00838433908335312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,-4.0,2.0,5.0,3.0,5.0,6.0,18.0,0.0,5.0,5.0,6.0,6.0,6.0,126.0
1983-09-28,30.78,-0.005847953216374259,-0.020467836257310024,1020.0,31.236,31.324,31.273999999999997,31.327500000000004,31.6116,31.140900000000002,31.180386986707514,31.208481080553966,31.296989728773017,31.343667539871984,31.382690974615898,31.057396452635654,-0.03295726952272578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-4.0,2.0,6.0,4.0,6.0,7.0,19.0,1.0,6.0,6.0,7.0,7.0,7.0,0.0
1983-09-29,30.6,-0.008823529411764808,-0.015359477124183086,1883.0,31.122000000000003,31.264999999999997,31.240666666666666,31.283000000000005,31.594199999999997,31.14720000000001,31.07486208003342,31.114868606622586,31.23060975460416,31.28858105543702,31.35199721090547,31.04833909713792,-0.05718660721531435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-4.0,-2.0,-6.0,0.0,7.0,5.0,7.0,8.0,20.0,2.0,7.0,7.0,8.0,8.0,8.0,1.0
1983-09-30,30.33,-0.017144741180349476,0.0006594131223212373,1327.0,30.992,31.176,31.198666666666668,31.234500000000004,31.573199999999996,31.154700000000002,30.939432610936432,30.99411959021911,31.144837397022812,31.217575051330574,31.311918888909176,31.03411456056093,-0.08554369560987435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-4.0,-4.0,-8.0,0.0,8.0,6.0,8.0,9.0,21.0,3.0,8.0,8.0,9.0,9.0,9.0,2.0
1983-10-03,29.81,0.009057363300905723,0.03086212680308627,3390.0,30.803999999999995,31.059000000000005,31.144000000000002,31.177000000000003,31.548799999999996,31.158000000000005,30.734081227129806,30.811947345570015,31.017710025877783,31.113310232713495,31.253020108951954,31.009874668272595,-0.13076089731351268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-4.0,-4.0,-4.0,-8.0,-2.0,9.0,7.0,9.0,10.0,22.0,4.0,9.0,9.0,10.0,10.0,10.0,3.0
1983-10-04,30.08,0.0023271276595744775,0.01230053191489365,3125.0,30.526,30.898000000000003,31.06266666666667,31.0935,31.515199999999997,31.1589,30.61515736765166,30.699340061636168,30.92840430912752,31.036768733993977,31.207019320365603,30.99146130850482,-0.13346134602227397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-8.0,-2.0,10.0,8.0,10.0,11.0,23.0,5.0,10.0,10.0,11.0,11.0,11.0,4.0
1983-10-05,30.15,-0.0006633499170812463,0.010281923714759611,2514.0,30.320000000000004,30.778,30.98933333333333,31.035500000000003,31.4888,31.1648,30.5305833008059,30.614826205999833,30.854270565401087,30.971082161105535,31.16556758231205,30.974798708336408,-0.12183090301613325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-4.0,-6.0,-6.0,0.0,11.0,9.0,11.0,12.0,24.0,6.0,11.0,11.0,12.0,12.0,12.0,5.0
1983-10-06,30.13,0.007301692665117903,0.014603385330235688,1173.0,30.194,30.657999999999998,30.907999999999998,30.979000000000003,31.461599999999997,31.170900000000003,30.457749973386647,30.540237558922936,30.78529241631527,30.90877977880142,31.12495708888805,30.95807002104262,-0.10729373423113286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-6.0,0.0,12.0,10.0,12.0,13.0,25.0,7.0,12.0,12.0,13.0,13.0,13.0,6.0
1983-10-07,30.35,0.012520593080724843,0.004283360790774267,1094.0,30.1,30.546,30.81733333333333,30.924,31.430600000000005,31.172300000000003,30.43815906913453,30.510970242165563,30.743835995713816,30.86738868407539,31.094566614814006,30.946029030526923,-0.07613596500998038,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-6.0,-8.0,-2.0,0.0,11.0,13.0,14.0,26.0,8.0,13.0,13.0,14.0,14.0,14.0,7.0
1983-10-10,30.73,-0.00911161731207293,-0.006508298080052043,1250.0,30.103999999999996,30.454,30.740666666666666,30.883999999999997,31.402200000000004,31.1761,30.491221056564616,30.544667127986244,30.74251828183631,30.85721174451425,31.080269884821302,30.94175122794223,-0.02580971170252594,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-2.0,-4.0,-8.0,0.0,1.0,0.0,14.0,15.0,27.0,9.0,0.0,0.0,15.0,15.0,15.0,8.0
1983-10-11,30.45,0.00032840722495900044,0.0032840722495895377,1066.0,30.288,30.407000000000004,30.694666666666667,30.869,31.378400000000003,31.184400000000004,30.483726319007413,30.530102954449898,30.7146593978519,30.827047911587268,31.055553418749877,30.932013579864165,-0.008168041849513197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-8.0,2.0,2.0,1.0,15.0,16.0,28.0,10.0,0.0,0.0,16.0,16.0,16.0,9.0
1983-10-12,30.46,0.003611293499671682,-0.008535784635587707,1069.0,30.362000000000002,30.341,30.639333333333333,30.832500000000003,31.345,31.190900000000003,30.47941244282425,30.51931788453453,30.690406121866005,30.799859177395618,31.03219838272047,30.9226667763025,0.006588497941415361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-2.0,-4.0,-10.0,2.0,3.0,2.0,16.0,17.0,29.0,11.0,1.0,1.0,17.0,17.0,17.0,10.0
1983-10-13,30.57,-0.0029440628066732043,-0.012757605495583925,1397.0,30.424,30.308999999999997,30.58,30.787000000000006,31.3118,31.1932,30.495882907765296,30.527115133067678,30.67893887216448,30.78283257166261,31.014072955947118,30.915683275781657,0.025129881766057127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-10.0,2.0,4.0,3.0,17.0,18.0,30.0,12.0,0.0,0.0,18.0,18.0,18.0,11.0
1983-10-14,30.48,0.001640419947506585,-0.008530183727034173,964.0,30.512,30.306,30.534666666666666,30.741000000000007,31.281,31.1967,30.492995106353423,30.519866651057267,30.65999231291072,30.76040052931723,30.993128918458996,30.90705588418202,0.0322507536808202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,-8.0,4.0,0.0,4.0,18.0,19.0,31.0,13.0,0.0,0.0,19.0,19.0,19.0,12.0
1983-10-17,30.53,0.0006550933508024753,-0.007533573534228641,807.0,30.538,30.321000000000005,30.482000000000003,30.69000000000001,31.248799999999996,31.201500000000006,30.499723268834618,30.52142562781769,30.64761209263351,30.74333382344188,30.974967000088057,30.899589431029902,0.040701149053273766,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,-4.0,-2.0,-8.0,4.0,1.0,5.0,0.0,20.0,32.0,14.0,0.0,0.0,20.0,20.0,20.0,13.0
