,Settle_Price,Daily_Return,5-day Return,Volume,SMA5,SMA10,SMA15,SMA20,SMA50,SMA100,EMA10,EMA12,EMA20,EMA26,EMA50,EMA100,MACD,MACD_Cross,SMA5Cross,SMA10Cross,SMA15Cross,SMA20Cross,SMA50Cross,SMA100Cross,EMA12Cross,EMA10Cross,EMA20Cross,EMA26Cross,EMA50Cross,EMA100Cross,Up-Down5,Up-Down10,Up-Down15,Up-Down20,Up-Down50,Up-Down100,Day_Since_SMA5Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA100Cross,Day_Since_EMA12Cross,Day_Since_EMA10Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_EMA100Cross
1965-12-01,1.2930000000000001,0.0,0.0,3.0,1.2957999999999998,1.2968,1.2963999999999998,1.2957500000000004,1.29488,1.3014399999999997,1.2953629973614502,1.2954545060596476,1.295500881417629,1.2955291305235723,1.2968666694191482,1.3014399999999997,-0.00032980787060234184,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,18.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0
1965-12-02,1.2930000000000001,0.0,0.0,0.0,1.2948,1.296,1.2962666666666665,1.2957,1.2948000000000002,1.30119,1.2949333614775502,1.2950768897427787,1.2952627022349976,1.2953417875218263,1.2967150353242796,1.3012728712871284,-0.00041606494858018614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4.0,10.0,18.0,20.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0
1965-12-03,1.2930000000000001,0.001546790409899288,0.0,0.0,1.2944,1.2954999999999999,1.2960666666666667,1.2956999999999996,1.29472,1.3009300000000001,1.2945818412089047,1.2947573682438898,1.2950472067840455,1.2951683217794687,1.296569347664504,1.3011090520537199,-0.000449696564089246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,18.0,20.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0
1965-12-06,1.295,-0.0015444015444013744,-0.0015444015444013744,3.0,1.2936,1.2951000000000001,1.2959999999999998,1.2956499999999997,1.2946799999999998,1.3007000000000002,1.2946578700800129,1.2947946962063683,1.2950427108998508,1.295155853499508,1.2965078046188372,1.3009880807259233,-0.0003199202573199714,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,10.0,20.0,22.0,0.0,5.0,5.0,5.0,0.0,3.0,0.0,0.0,5.0,5.0,7.0,3.0
1965-12-07,1.2930000000000001,0.0,0.0,2.0,1.2938,1.2948,1.2959333333333334,1.2957,1.2946799999999998,1.3004900000000001,1.2943564391563742,1.2945185890976962,1.294848167004627,1.2949961606476925,1.2963702436533926,1.3008299009095683,-0.00034906761134125767,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,10.0,20.0,22.0,0.0,6.0,6.0,6.0,0.0,4.0,0.0,0.0,6.0,6.0,8.0,4.0
1965-12-08,1.2930000000000001,0.0,0.0,0.0,1.2934,1.2946000000000002,1.2956666666666663,1.2956499999999997,1.2946800000000003,1.3002300000000002,1.2941098138552154,1.294284960005743,1.2946721510994244,1.2948482968960116,1.2962380772356126,1.3006748533668047,-0.00034786636129091115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,20.0,20.0,1.0,7.0,7.0,7.0,1.0,5.0,1.0,1.0,7.0,7.0,9.0,5.0
1965-12-09,1.2930000000000001,0.0,0.0,0.0,1.2934,1.2940999999999998,1.2951333333333332,1.29555,1.2946800000000003,1.2999800000000001,1.2939080295179035,1.2940872738510132,1.2945128986137648,1.2947113860148256,1.296111093814608,1.3005228760724126,-0.0003269133078677338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,20.0,22.0,2.0,8.0,8.0,8.0,2.0,6.0,2.0,2.0,8.0,8.0,10.0,6.0
1965-12-10,1.2930000000000001,0.0,0.0,0.0,1.2934,1.2939,1.2947999999999997,1.2954,1.2946799999999998,1.29976,1.293742933241921,1.2939200009508574,1.2943688130315016,1.294584616680394,1.295989090135604,1.3003739082293946,-0.00029393349887360325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,20.0,24.0,3.0,9.0,9.0,9.0,3.0,7.0,3.0,3.0,9.0,9.0,11.0,7.0
1965-12-13,1.2930000000000001,0.0,0.0,4.0,1.2934,1.2934999999999999,1.2945333333333333,1.2953499999999998,1.2946800000000003,1.2995,1.2936078544706626,1.293778462343033,1.2942384498856443,1.2944672376670314,1.2958718709145998,1.300227890244654,-0.0002544744746682187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,10.0,20.0,24.0,4.0,10.0,10.0,10.0,4.0,8.0,4.0,4.0,10.0,10.0,12.0,8.0
1965-12-14,1.2930000000000001,0.0,0.0,3.0,1.2930000000000001,1.2934,1.2941999999999998,1.2952,1.2946600000000001,1.2992300000000003,1.2934973354759967,1.2936586989056433,1.2941205022774878,1.2943585533953994,1.2957592485257918,1.300084763705156,-0.00021244291234074318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,10.0,20.0,24.0,5.0,11.0,11.0,11.0,5.0,9.0,5.0,5.0,11.0,11.0,13.0,9.0
1965-12-15,1.2930000000000001,0.0,0.0,4.0,1.2930000000000001,1.2932,1.2940666666666665,1.295,1.29454,1.2990000000000004,1.2934069108439974,1.2935573606124675,1.2940137877748699,1.294257919810555,1.295651042701251,1.299944471354559,-0.00017051809653776816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,10.0,20.0,26.0,6.0,12.0,12.0,12.0,6.0,10.0,6.0,6.0,12.0,12.0,14.0,10.0
1965-12-16,1.2930000000000001,0.0,0.000773395204949644,4.0,1.2930000000000001,1.2932,1.293733333333333,1.2945999999999998,1.29446,1.2987700000000002,1.2933329270541798,1.293471612825934,1.2939172365582157,1.2941647405653287,1.2955470802423785,1.2998069570703101,-0.00013046931027592358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,10.0,22.0,26.0,7.0,13.0,13.0,13.0,7.0,11.0,7.0,7.0,13.0,13.0,15.0,11.0
1965-12-17,1.2930000000000001,0.0,0.0,0.0,1.2930000000000001,1.2932,1.2935999999999999,1.2943500000000001,1.29438,1.2985600000000002,1.2932723948625107,1.2933990570065597,1.2938298806955284,1.2940784634864155,1.2954471947426773,1.2996721658411952,-9.339844058969772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,10.0,22.0,28.0,8.0,14.0,14.0,14.0,8.0,12.0,8.0,8.0,14.0,14.0,16.0,12.0
1965-12-20,1.2930000000000001,0.0,0.0023201856148491037,2.0,1.2930000000000001,1.2932,1.293333333333333,1.2941499999999997,1.29434,1.2983500000000003,1.2932228685238725,1.293337663620935,1.2937508444388115,1.2939985773022367,1.2953512263213958,1.29954004374533,-5.9924513628350725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,10.0,10.0,24.0,28.0,9.0,15.0,15.0,15.0,9.0,13.0,9.0,9.0,15.0,15.0,17.0,13.0
1965-12-21,1.2930000000000001,0.0,0.0023201856148491037,0.0,1.2930000000000001,1.293,1.2932666666666666,1.2939,1.2943,1.2981300000000002,1.2931823469740775,1.2932857153715605,1.293679335444639,1.2939246086131821,1.2952590213676156,1.2994105379285907,-3.0323259158748566e-05,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,10.0,12.0,24.0,28.0,10.0,0.0,16.0,16.0,10.0,14.0,10.0,10.0,16.0,16.0,18.0,14.0
1965-12-22,1.2930000000000001,0.000773395204949644,0.001546790409899288,1.0,1.2930000000000001,1.293,1.293133333333333,1.2937999999999998,1.2942600000000002,1.2979100000000003,1.2931491929787908,1.2932417591605512,1.2936146368308639,1.2938561190862798,1.2951704322943758,1.2992835965834701,-4.631954612577087e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,12.0,24.0,28.0,11.0,1.0,17.0,17.0,11.0,15.0,11.0,11.0,17.0,17.0,19.0,15.0
