,Settle_Price,Daily_Return,5-day Return,Volume,SMA5,SMA10,SMA15,SMA20,SMA50,SMA100,EMA10,EMA12,EMA20,EMA26,EMA50,EMA100,MACD,MACD_Cross,SMA5Cross,SMA10Cross,SMA15Cross,SMA20Cross,SMA50Cross,SMA100Cross,EMA12Cross,EMA10Cross,EMA20Cross,EMA26Cross,EMA50Cross,EMA100Cross,Up-Down5,Up-Down10,Up-Down15,Up-Down20,Up-Down50,Up-Down100,Day_Since_SMA5Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA100Cross,Day_Since_EMA12Cross,Day_Since_EMA10Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_EMA100Cross
1974-10-21,512.0,0.013671875,-0.009765625,60.0,500.4,429.4,331.09166666666664,281.7375,199.21650000000002,179.12925000000004,443.93981053021037,422.33327511902155,354.5770364888554,320.5154957258697,251.40051527770277,179.12925000000004,24.23979165290065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,2.0,8.0,8.0,8.0,8.0,101.0,8.0,8.0,8.0,8.0,8.0,101.0
1974-10-22,519.0,-0.007707129094412331,-0.019267822736030827,5.0,503.4,467.475,356.2916666666667,300.6375,206.24849999999998,182.58925,457.58711770653576,437.2050789468644,370.23636634705963,335.2180515980275,261.8946127177928,185.85936386138619,19.527231686868532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,9.0,9.0,9.0,102.0,9.0,9.0,9.0,9.0,9.0,102.0
1974-10-23,515.0,0.005825242718446602,-0.001941747572815534,0.0,507.6,506.1,381.85,319.9,213.3885,186.10925,468.0258235780747,449.17352833965447,384.02337907591107,348.53523296113656,271.8203141798402,192.37700022056666,14.54279977323965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,10.0,10.0,10.0,10.0,103.0,10.0,10.0,10.0,10.0,10.0,103.0
1974-10-24,518.0,0.0019305019305019305,-0.007722007722007722,10.0,511.4,506.1,407.1333333333333,338.95,220.4245,189.58525,477.1120374729702,459.76221628739995,396.78305725915766,361.08817866771903,281.47441950612097,198.8249804142188,10.062833611522123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,-2.0,5.0,11.0,11.0,11.0,11.0,104.0,11.0,11.0,11.0,11.0,11.0,104.0
1974-10-25,519.0,-0.023121387283236993,-0.015414258188824663,80.0,514.4,507.0,432.68333333333334,358.16875,227.4805,193.09325,484.7280306597029,468.87572147395383,408.4227660916188,372.78535061825835,290.78914815293973,205.16507981195704,5.983333478029351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0,0.0,6.0,12.0,12.0,12.0,12.0,105.0,12.0,12.0,12.0,12.0,12.0,105.0
1974-10-28,507.0,0.0039447731755424065,0.007889546351084813,0.0,516.6,508.5,458.46666666666664,377.46875,234.5325,196.62325,488.777479630666,474.74099509334553,417.81107408289324,382.72717649838734,299.26800508811857,211.14200892459155,1.5254249738336512,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,-2.0,2.0,0.0,0.0,13.0,13.0,13.0,106.0,13.0,13.0,13.0,13.0,13.0,106.0
1974-10-29,509.0,0.009823182711198428,0.003929273084479371,10.0,515.6,509.5,483.51666666666665,396.11875,241.3525,200.03924999999998,492.4543015159995,480.01161123283083,426.4957336940463,392.08071897998826,307.49278920231,217.04018696568875,-2.0460010946255807,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,-2.0,2.0,1.0,1.0,14.0,14.0,14.0,107.0,14.0,14.0,14.0,14.0,14.0,107.0
1974-10-30,514.0,0.0,-0.005836575875486381,15.0,513.6,510.6,508.6,414.7875,248.1725,203.50525000000002,496.3717012403632,485.2405941200876,434.82947334223235,401.11177683332244,315.59111119437625,222.92057930300183,-4.678460848562366,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,-2.0,4.0,0.0,0.0,15.0,15.0,15.0,108.0,15.0,15.0,15.0,15.0,15.0,108.0
1974-10-31,514.0,-0.005836575875486381,-0.017509727626459144,10.0,513.4,512.4,508.53333333333336,433.7,255.5875,207.03324999999998,499.5768464693881,489.6651181016126,442.369523500115,409.4738674382615,323.3718519318517,228.68452822769487,-6.892821977581136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,4.0,0.0,6.0,1.0,1.0,16.0,16.0,16.0,109.0,16.0,16.0,16.0,16.0,16.0,109.0
1974-11-01,511.0,0.0,-0.009295499021526418,15.0,512.6,513.5,508.8666666666667,452.6625,263.0125,210.57125,501.6537834749539,492.94740762444144,448.9057593572469,416.994321702094,330.7298185227595,234.27493360932468,-8.90478937486786,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,2.0,8.0,0.0,0.0,17.0,17.0,17.0,110.0,17.0,17.0,17.0,17.0,17.0,110.0
1974-11-04,511.0,0.0,-0.04500978473581213,10.0,511.0,513.8,509.3333333333333,471.6,270.4075,214.08525,503.3530955704168,495.72472952837353,454.8194965613186,423.95770527971666,337.7992374042199,239.75463789428855,-10.472680838846742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,4.0,2.0,8.0,1.0,1.0,18.0,18.0,18.0,111.0,18.0,18.0,18.0,18.0,18.0,111.0
1974-11-06,511.0,0.0,-0.03522504892367906,10.0,511.8,513.7,510.26666666666665,490.5875,277.8175,217.61325,504.74344183034106,498.07477113939296,460.17002069833586,430.40528266640433,344.5914241726819,245.12583318351057,-11.656173291611978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,4.0,10.0,2.0,2.0,19.0,19.0,19.0,112.0,19.0,19.0,19.0,19.0,19.0,112.0
1974-11-07,511.0,-0.011741682974559686,-0.029354207436399216,10.0,512.2,512.9,511.1333333333333,509.5,285.2425,221.15125,505.8809978611881,500.06326788717865,465.01097110801817,436.37526172815217,351.117250675714,250.3906681699757,-12.510124484459297,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,12.0,3.0,3.0,0.0,20.0,20.0,113.0,20.0,20.0,20.0,20.0,20.0,113.0
1974-11-08,505.0,0.0024752475247524753,-0.04554455445544554,95.0,511.6,512.5,512.1333333333333,509.3,292.6525,224.69725,505.7208164318812,500.822765135305,468.8194500501117,441.45857567421496,357.15186829627424,255.43243711710488,-13.467152945916581,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,14.0,4.0,4.0,1.0,0.0,21.0,114.0,21.0,0.0,21.0,21.0,21.0,114.0
1974-11-11,506.25,-0.036049382716049384,-0.0874074074074074,500.0,509.8,511.2,512.2666666666667,509.1,299.9625,228.22725,505.8170316260846,501.6577243452581,472.38426433105343,446.2579404390879,362.9988538532831,260.39912153062755,-13.945246800669182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,4.0,6.0,14.0,5.0,5.0,2.0,1.0,22.0,115.0,22.0,0.0,22.0,22.0,22.0,115.0
1974-11-12,488.0,0.010245901639344262,-0.01639344262295082,40.0,508.85,509.925,512.15,509.2125,307.3575,231.76775,502.5775713304329,499.55653598444917,473.8714772519055,449.3499448510073,367.90085958452687,264.90606961913,-15.31075165871799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,6.0,8.0,14.0,6.0,6.0,3.0,2.0,23.0,116.0,0.0,0.0,23.0,23.0,23.0,116.0
