,Settle_Price,Daily_Return,5-day Return,Volume,SMA5,SMA10,SMA15,SMA20,SMA50,SMA100,EMA10,EMA12,EMA20,EMA26,EMA50,EMA100,MACD,MACD_Cross,SMA5Cross,SMA10Cross,SMA15Cross,SMA20Cross,SMA50Cross,SMA100Cross,EMA12Cross,EMA10Cross,EMA20Cross,EMA26Cross,EMA50Cross,EMA100Cross,Up-Down5,Up-Down10,Up-Down15,Up-Down20,Up-Down50,Up-Down100,Day_Since_SMA5Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA100Cross,Day_Since_EMA12Cross,Day_Since_EMA10Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_EMA100Cross
2014-01-30,176.0,0.0,0.0,0.0,176.0,176.025,176.26666666666668,176.5,179.79,180.9525,176.15397396584035,176.26234035494483,176.83797408571914,177.29934455768037,178.68241539740134,180.9525,0.1526849991252659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,10.0,12.0,18.0,0.0,6.0,13.0,13.0,13.0,20.0,0.0,13.0,13.0,13.0,20.0,20.0,0.0
2014-01-31,176.0,0.0,0.017045454545454544,0.0,176.0,176.025,176.26666666666668,176.5,179.64,180.935,176.12597869932392,176.22198030033792,176.75816702993637,177.203096812667,178.57722263671894,180.8544306930693,0.1668581516253731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,12.0,14.0,20.0,32.0,7.0,14.0,14.0,14.0,21.0,1.0,14.0,14.0,14.0,21.0,21.0,1.0
2014-02-01,176.0,0.0,0.022727272727272728,0.0,176.0,176.025,176.01666666666668,176.3,179.49,180.895,176.10307348126503,176.18782948490133,176.6859606461329,177.11397853024724,178.4761550823378,180.75830335261247,0.17746049488684723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,12.0,14.0,20.0,32.0,8.0,15.0,15.0,15.0,22.0,2.0,15.0,15.0,15.0,22.0,22.0,2.0
2014-02-02,176.0,0.0,0.026988636363636364,0.0,176.0,176.025,176.01666666666668,176.2,179.34,180.8425,176.08433284830775,176.15893264107035,176.62063106078693,177.03146160208078,178.37905096146181,180.66407952384787,0.18486446337786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,14.0,14.0,20.0,32.0,9.0,16.0,16.0,16.0,23.0,3.0,16.0,16.0,16.0,23.0,23.0,3.0
2014-02-03,176.0,0.0,0.026988636363636364,0.0,176.0,176.0,176.01666666666668,176.2,179.18,180.7975,176.06899960316088,176.13448146552108,176.561523340712,176.95505703896367,178.28575484532607,180.57172151347464,0.1894542807565558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,16.0,14.0,20.0,34.0,10.0,17.0,17.0,17.0,24.0,4.0,17.0,17.0,17.0,24.0,24.0,4.0
2014-02-04,176.0,0.017045454545454544,0.026988636363636364,0.0,176.0,176.0,176.01666666666668,176.2,178.995,180.7525,176.056454220768,176.11379200928707,176.50804492731086,176.8843120731145,178.1961174004113,180.48119237459395,0.191607832297375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,16.0,16.0,20.0,34.0,11.0,18.0,18.0,18.0,25.0,5.0,18.0,18.0,18.0,25.0,25.0,5.0
2014-02-05,179.0,0.00558659217877095,0.0013966480446927375,0.0,176.0,176.0,176.01666666666668,176.2,178.825,180.68,176.59164436244654,176.5578240078583,176.74537398185268,177.04102969732824,178.2276422082383,180.45186183252278,0.3831377653238943,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10.0,10.0,16.0,16.0,22.0,34.0,12.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
2014-02-06,180.0,0.004166666666666667,-0.008333333333333333,1.0,176.6,176.3,176.21666666666667,176.1625,178.73,180.6425,177.21134538745628,177.08738954511088,177.05533836453338,177.26021268271134,178.29714643536622,180.44291407346293,0.5548162537546999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,16.0,18.0,24.0,36.0,13.0,20.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0
2014-02-07,180.75,0.0,-0.0013831258644536654,0.0,177.4,176.7,176.48333333333332,176.3625,178.665,180.6225,177.8547371351915,177.6508680766323,177.4072109012445,177.51871544695496,178.3933367712342,180.4489949828993,0.6878336168259965,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,10.0,12.0,18.0,18.0,26.0,38.0,14.0,21.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
2014-02-08,180.75,0.0,-0.004149377593360996,0.0,178.35,177.175,176.78333333333333,176.6,178.615,180.605,178.38114856515668,178.12765760330424,177.72557176779264,177.75806985829163,178.48575493706815,180.45495547828745,0.7402149857290159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,18.0,20.0,26.0,38.0,15.0,22.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0
