,Daily_Return,Day_Since_EMA100Cross,Day_Since_EMA10Cross,Day_Since_EMA12Cross,Day_Since_EMA20Cross,Day_Since_EMA26Cross,Day_Since_EMA50Cross,Day_Since_SMA100Cross,Day_Since_SMA10Cross,Day_Since_SMA15Cross,Day_Since_SMA20Cross,Day_Since_SMA50Cross,Day_Since_SMA5Cross,EMA10,EMA100,EMA100Cross,EMA10Cross,EMA12,EMA12Cross,EMA20,EMA20Cross,EMA26,EMA26Cross,EMA50,EMA50Cross,MACD,MACD_Cross,SMA10,SMA100,SMA100Cross,SMA10Cross,SMA15,SMA15Cross,SMA20,SMA20Cross,SMA5,SMA50,SMA50Cross,SMA5Cross,Settle_Price,Time,Up-Down10,Up-Down100,Up-Down15,Up-Down20,Up-Down5,Up-Down50,Volume
1974-10-21,0.013671875,101.0,8.0,8.0,8.0,8.0,8.0,101.0,8.0,8.0,8.0,8.0,2.0,443.93981053021037,179.12925000000004,0.0,0.0,422.33327511902155,0.0,354.5770364888554,0.0,320.5154957258697,0.0,251.40051527770277,0.0,24.23979165290065,0.0,429.4,179.12925000000004,0.0,0.0,331.09166666666664,0.0,281.7375,0.0,500.4,199.21650000000002,0.0,0.0,512.0,9973,-2.0,0.0,0.0,-2.0,0.0,-2.0,60.0
1974-10-22,-0.007707129094412331,102.0,9.0,9.0,9.0,9.0,9.0,102.0,9.0,9.0,9.0,9.0,3.0,457.58711770653576,185.85936386138619,0.0,0.0,437.2050789468644,0.0,370.23636634705963,0.0,335.2180515980275,0.0,261.8946127177928,0.0,19.527231686868532,0.0,467.475,182.58925,0.0,0.0,356.2916666666667,0.0,300.6375,0.0,503.4,206.24849999999998,0.0,0.0,519.0,9972,0.0,0.0,0.0,0.0,2.0,0.0,5.0
1974-10-23,0.005825242718446602,103.0,10.0,10.0,10.0,10.0,10.0,103.0,10.0,10.0,10.0,10.0,4.0,468.0258235780747,192.37700022056666,0.0,0.0,449.17352833965447,0.0,384.02337907591107,0.0,348.53523296113656,0.0,271.8203141798402,0.0,14.54279977323965,0.0,506.1,186.10925,0.0,0.0,381.85,0.0,319.9,0.0,507.6,213.3885,0.0,0.0,515.0,9971,2.0,0.0,2.0,0.0,2.0,0.0,0.0
1974-10-24,0.0019305019305019305,104.0,11.0,11.0,11.0,11.0,11.0,104.0,11.0,11.0,11.0,11.0,5.0,477.1120374729702,198.8249804142188,0.0,0.0,459.76221628739995,0.0,396.78305725915766,0.0,361.08817866771903,0.0,281.47441950612097,0.0,10.062833611522123,0.0,506.1,189.58525,0.0,0.0,407.1333333333333,0.0,338.95,0.0,511.4,220.4245,0.0,0.0,518.0,9970,2.0,-2.0,0.0,-2.0,0.0,-2.0,10.0
1974-10-25,-0.023121387283236993,105.0,12.0,12.0,12.0,12.0,12.0,105.0,12.0,12.0,12.0,12.0,6.0,484.7280306597029,205.16507981195704,0.0,0.0,468.87572147395383,0.0,408.4227660916188,0.0,372.78535061825835,0.0,290.78914815293973,0.0,5.983333478029351,0.0,507.0,193.09325,0.0,0.0,432.68333333333334,0.0,358.16875,0.0,514.4,227.4805,0.0,0.0,519.0,9969,2.0,0.0,2.0,0.0,2.0,-2.0,80.0
1974-10-28,0.0039447731755424065,106.0,13.0,13.0,13.0,13.0,13.0,106.0,0.0,13.0,13.0,13.0,0.0,488.777479630666,211.14200892459155,0.0,0.0,474.74099509334553,0.0,417.81107408289324,0.0,382.72717649838734,0.0,299.26800508811857,0.0,1.5254249738336512,0.0,508.5,196.62325,0.0,1.0,458.46666666666664,0.0,377.46875,0.0,516.6,234.5325,0.0,1.0,507.0,9968,2.0,2.0,4.0,2.0,4.0,-2.0,0.0
1974-10-29,0.009823182711198428,107.0,14.0,14.0,14.0,14.0,14.0,107.0,1.0,14.0,14.0,14.0,1.0,492.4543015159995,217.04018696568875,0.0,0.0,480.01161123283083,0.0,426.4957336940463,0.0,392.08071897998826,0.0,307.49278920231,0.0,-2.0460010946255807,-1.0,509.5,200.03924999999998,0.0,0.0,483.51666666666665,0.0,396.11875,0.0,515.6,241.3525,0.0,0.0,509.0,9967,2.0,2.0,2.0,2.0,4.0,-2.0,10.0
1974-10-30,0.0,108.0,15.0,15.0,15.0,15.0,15.0,108.0,0.0,15.0,15.0,15.0,0.0,496.3717012403632,222.92057930300183,0.0,0.0,485.2405941200876,0.0,434.82947334223235,0.0,401.11177683332244,0.0,315.59111119437625,0.0,-4.678460848562366,0.0,510.6,203.50525000000002,0.0,-1.0,508.6,0.0,414.7875,0.0,513.6,248.1725,0.0,-1.0,514.0,9966,4.0,4.0,2.0,2.0,4.0,-2.0,15.0
1974-10-31,-0.005836575875486381,109.0,16.0,16.0,16.0,16.0,16.0,109.0,1.0,16.0,16.0,16.0,1.0,499.5768464693881,228.68452822769487,0.0,0.0,489.6651181016126,0.0,442.369523500115,0.0,409.4738674382615,0.0,323.3718519318517,0.0,-6.892821977581136,0.0,512.4,207.03324999999998,0.0,0.0,508.53333333333336,0.0,433.7,0.0,513.4,255.5875,0.0,0.0,514.0,9965,6.0,6.0,2.0,4.0,6.0,0.0,10.0
1974-11-01,0.0,110.0,17.0,17.0,17.0,17.0,17.0,110.0,0.0,17.0,17.0,17.0,0.0,501.6537834749539,234.27493360932468,0.0,0.0,492.94740762444144,0.0,448.9057593572469,0.0,416.994321702094,0.0,330.7298185227595,0.0,-8.90478937486786,0.0,513.5,210.57125,0.0,1.0,508.8666666666667,0.0,452.6625,0.0,512.6,263.0125,0.0,1.0,511.0,9964,6.0,8.0,4.0,4.0,6.0,2.0,15.0
1974-11-04,0.0,111.0,18.0,18.0,18.0,18.0,18.0,111.0,1.0,18.0,18.0,18.0,1.0,503.3530955704168,239.75463789428855,0.0,0.0,495.72472952837353,0.0,454.8194965613186,0.0,423.95770527971666,0.0,337.7992374042199,0.0,-10.472680838846742,0.0,513.8,214.08525,0.0,0.0,509.3333333333333,0.0,471.6,0.0,511.0,270.4075,0.0,0.0,511.0,9963,6.0,8.0,4.0,4.0,4.0,2.0,10.0
1974-11-06,0.0,112.0,19.0,19.0,19.0,19.0,19.0,112.0,2.0,19.0,19.0,19.0,2.0,504.74344183034106,245.12583318351057,0.0,0.0,498.07477113939296,0.0,460.17002069833586,0.0,430.40528266640433,0.0,344.5914241726819,0.0,-11.656173291611978,0.0,513.7,217.61325,0.0,0.0,510.26666666666665,0.0,490.5875,0.0,511.8,277.8175,0.0,0.0,511.0,9962,6.0,10.0,6.0,6.0,4.0,4.0,10.0
1974-11-07,-0.011741682974559686,113.0,20.0,20.0,20.0,20.0,20.0,113.0,3.0,0.0,20.0,20.0,3.0,505.8809978611881,250.3906681699757,0.0,0.0,500.06326788717865,0.0,465.01097110801817,0.0,436.37526172815217,0.0,351.117250675714,0.0,-12.510124484459297,0.0,512.9,221.15125,0.0,0.0,511.1333333333333,1.0,509.5,0.0,512.2,285.2425,0.0,0.0,511.0,9961,6.0,12.0,6.0,6.0,4.0,6.0,10.0
1974-11-08,0.0024752475247524753,114.0,0.0,21.0,21.0,21.0,21.0,114.0,4.0,1.0,0.0,21.0,4.0,505.7208164318812,255.43243711710488,0.0,1.0,500.822765135305,0.0,468.8194500501117,0.0,441.45857567421496,0.0,357.15186829627424,0.0,-13.467152945916581,0.0,512.5,224.69725,0.0,0.0,512.1333333333333,0.0,509.3,1.0,511.6,292.6525,0.0,0.0,505.0,9960,6.0,14.0,6.0,6.0,6.0,6.0,95.0
1974-11-11,-0.036049382716049384,115.0,0.0,22.0,22.0,22.0,22.0,115.0,5.0,2.0,1.0,22.0,5.0,505.8170316260846,260.39912153062755,0.0,-1.0,501.6577243452581,0.0,472.38426433105343,0.0,446.2579404390879,0.0,362.9988538532831,0.0,-13.945246800669182,0.0,511.2,228.22725,0.0,0.0,512.2666666666667,0.0,509.1,0.0,509.8,299.9625,0.0,0.0,506.25,9959,4.0,14.0,6.0,4.0,4.0,6.0,500.0
1974-11-12,0.010245901639344262,116.0,0.0,0.0,23.0,23.0,23.0,116.0,6.0,3.0,2.0,23.0,6.0,502.5775713304329,264.90606961913,0.0,1.0,499.55653598444917,1.0,473.8714772519055,0.0,449.3499448510073,0.0,367.90085958452687,0.0,-15.31075165871799,0.0,509.925,231.76775,0.0,0.0,512.15,0.0,509.2125,0.0,508.85,307.3575,0.0,0.0,488.0,9958,6.0,14.0,8.0,6.0,4.0,8.0,40.0
1974-11-13,0.006085192697768763,117.0,1.0,1.0,24.0,24.0,24.0,117.0,7.0,4.0,3.0,24.0,7.0,500.8361947248996,269.4227811118205,0.0,0.0,498.54783814068776,0.0,475.6932413231526,0.0,452.5832822694512,0.0,372.8067082282709,0.0,-15.642229536738647,0.0,508.025,235.11375,0.0,0.0,510.55,0.0,508.7625,0.0,504.25,314.3775,0.0,0.0,493.0,9957,4.0,12.0,8.0,6.0,4.0,6.0,330.0
1974-11-14,-0.028225806451612902,118.0,2.0,2.0,25.0,25.0,25.0,118.0,8.0,5.0,4.0,25.0,8.0,499.9568865930997,273.9094587135666,0.0,0.0,498.1558630421204,0.0,477.62721833999524,0.0,455.79933543467706,0.0,377.63781770951516,0.0,-15.400206240425469,0.0,506.425,238.50175,0.0,0.0,508.81666666666666,0.0,508.5125,0.0,500.65,321.48,0.0,0.0,496.0,9956,4.0,12.0,8.0,8.0,4.0,6.0,350.0
1974-11-15,-0.04149377593360996,119.0,3.0,3.0,26.0,26.0,26.0,119.0,9.0,6.0,5.0,26.0,9.0,496.691998121627,278.03006349151576,0.0,0.0,495.67034565102495,0.0,478.0436737361862,0.0,457.7401254024788,0.0,381.73045230914204,0.0,-15.861210879458127,0.0,504.625,241.89974999999998,0.0,0.0,507.55,0.0,508.5125,0.0,497.65,328.6375,0.0,0.0,482.0,9955,6.0,12.0,10.0,8.0,4.0,6.0,140.0
1974-11-18,0.03896103896103896,120.0,4.0,4.0,0.0,27.0,27.0,120.0,10.0,7.0,6.0,27.0,10.0,490.384362099513,281.67303253128773,0.0,0.0,490.4902924739442,0.0,476.51570480893037,1.0,458.05567166896185,0.0,384.8782777087835,0.0,-17.08544825841757,0.0,501.425,245.14775,0.0,0.0,505.15,0.0,507.4625,0.0,493.05,335.5325,0.0,0.0,462.0,9954,4.0,10.0,8.0,6.0,2.0,6.0,215.0
1974-11-19,0.013541666666666667,121.0,5.0,5.0,0.0,28.0,28.0,121.0,11.0,8.0,7.0,28.0,11.0,488.4962962632379,285.6002992138365,0.0,0.0,488.8764013241066,0.0,476.8475424461751,-1.0,459.681177471261,0.0,388.6085413280469,0.0,-16.25987616844342,0.0,496.525,248.20375,0.0,0.0,501.35,0.0,505.1625,0.0,484.2,342.0,0.0,0.0,480.0,9953,2.0,10.0,6.0,6.0,2.0,4.0,70.0
1974-11-20,-0.029804727646454265,122.0,6.0,6.0,1.0,29.0,29.0,122.0,12.0,9.0,8.0,29.0,0.0,488.1333333062856,289.5785111105922,0.0,0.0,488.5108011203979,0.0,477.766824117968,0.0,461.66775691783425,0.0,392.44742206028036,0.0,-14.889644654980323,0.0,493.425,251.43974999999998,0.0,0.0,499.55,0.0,503.5625,0.0,482.6,348.825,0.0,-1.0,486.5,9952,2.0,10.0,6.0,8.0,2.0,4.0,70.0
1974-11-21,0.01694915254237288,123.0,7.0,7.0,0.0,30.0,30.0,123.0,13.0,10.0,9.0,30.0,0.0,485.19999997787,293.1908178212736,0.0,0.0,485.9706778711059,0.0,477.2176027733996,1.0,462.43310825725393,0.0,395.5671309990929,0.0,-14.556095394953587,0.0,490.975,254.74074999999996,0.0,0.0,498.05,0.0,501.9375,0.0,481.3,355.765,0.0,1.0,472.0,9951,4.0,10.0,6.0,10.0,2.0,4.0,185.0
1974-11-22,0.00625,124.0,8.0,8.0,0.0,31.0,31.0,124.0,14.0,11.0,10.0,31.0,0.0,484.25454543643906,296.890009547585,0.0,0.0,485.05211204478195,0.0,477.4825929854568,-1.0,463.7343594974573,0.0,398.87822390108926,0.0,-13.420729969184755,0.0,487.075,257.88875,0.0,0.0,495.25,0.0,499.7875,0.0,476.5,362.4575,0.0,-1.0,480.0,9950,2.0,8.0,6.0,8.0,0.0,4.0,95.0
1974-11-25,0.018633540372670808,125.0,9.0,9.0,1.0,32.0,32.0,125.0,15.0,12.0,11.0,32.0,1.0,484.0264462661774,300.5753558931774,0.0,0.0,484.7364024994309,0.0,478.0080603201752,0.0,465.16144397912717,0.0,402.1771170814387,0.0,-12.130819196964541,0.0,484.575,261.11275,0.0,0.0,492.98333333333335,0.0,497.8875,0.0,476.1,369.3325,0.0,0.0,483.0,9949,2.0,8.0,6.0,10.0,2.0,6.0,5.0
