Baseline,LSTM,Linear,Neural
1,1,1.00E+00,1.00E+00
1,0.996339934,1.00E+00,9.92E-01
1,1.015997215,1.01E+00,9.99E-01
1,1.027660179,1.00E+00,9.96E-01
1,1.044498513,1.02E+00,9.91E-01
1.001123314,1.045238959,1.02E+00,9.95E-01
1.001796922,1.047705198,1.02E+00,9.85E-01
1.001796922,1.044790675,1.01E+00,9.80E-01
1.002027922,1.04274071,1.03E+00,9.86E-01
1.002027922,1.04260153,1.04E+00,9.84E-01
0.999442404,1.041506631,1.07E+00,9.90E-01
0.997130709,1.040780986,1.07E+00,9.87E-01
0.997144752,1.032133933,1.07E+00,9.82E-01
0.997622929,1.035881173,1.06E+00,9.77E-01
0.995865917,1.037122935,1.05E+00,9.76E-01
0.995865917,1.038497599,1.05E+00,9.80E-01
0.99606507,1.024239219,1.06E+00,9.78E-01
1.000150458,1.037676701,1.05E+00,9.83E-01
1.000432391,1.045748562,1.06E+00,9.83E-01
1.000490132,1.046027426,1.05E+00,9.76E-01
1.000791525,1.045846236,1.05E+00,9.65E-01
1.000791525,1.04659561,1.06E+00,9.63E-01
1.000791525,1.043656347,1.07E+00,9.61E-01
1.000791525,1.041854564,1.07E+00,9.62E-01
1.000791525,1.042266905,1.07E+00,9.61E-01
1.000791525,1.041226693,1.06E+00,9.60E-01
1.000791525,1.040591167,1.07E+00,9.56E-01
1.000791525,1.042886316,1.04E+00,9.56E-01
1.000791525,1.038183523,1.04E+00,9.63E-01
1.002993965,1.039157228,1.05E+00,9.55E-01
1.003890022,1.039483389,1.05E+00,9.53E-01
1.005050512,1.038750794,1.06E+00,9.48E-01
1.005196431,1.036924347,1.06E+00,9.53E-01
1.005362966,1.037568134,1.06E+00,9.54E-01
1.005362966,1.039137096,1.06E+00,9.50E-01
1.005722327,1.038287298,1.08E+00,9.57E-01
1.007124532,1.034579215,1.08E+00,9.50E-01
1.007124532,1.036924967,1.08E+00,9.53E-01
1.007479781,1.013574601,1.07E+00,9.49E-01
1.007601792,1.03824516,1.06E+00,9.40E-01
1.007977641,1.040023201,1.08E+00,9.50E-01
1.007977641,1.039631196,1.08E+00,9.50E-01
1.007977641,1.036525419,1.08E+00,9.52E-01
1.007977641,1.040279774,1.08E+00,9.59E-01
1.007977641,1.037879525,1.09E+00,9.63E-01
1.00798751,1.037228187,1.10E+00,9.58E-01
1.00798751,1.035128408,1.10E+00,9.60E-01
1.008237169,1.03757982,1.11E+00,9.61E-01
1.010989501,1.041959087,1.11E+00,9.63E-01
1.010989501,1.041433656,1.10E+00,9.53E-01
1.014211851,1.04213631,1.09E+00,9.48E-01
1.014460236,1.043764348,1.09E+00,9.46E-01
1.015436566,1.042759767,1.10E+00,9.44E-01
1.016649994,1.042259393,1.10E+00,9.45E-01
1.018268245,1.041235582,1.10E+00,9.42E-01
1.01839481,1.040753685,1.11E+00,9.40E-01
1.019318358,1.036342732,1.10E+00,9.42E-01
1.020981111,1.038279601,1.10E+00,9.45E-01
1.021159449,1.038054795,1.10E+00,9.46E-01
1.022019436,1.037559152,1.09E+00,9.46E-01
1.024394046,1.037817439,1.09E+00,9.50E-01
1.024629215,1.035505003,1.09E+00,9.49E-01
1.026504955,1.035200591,1.09E+00,9.47E-01
1.026504955,1.034034536,1.09E+00,9.53E-01
1.026504955,1.030126115,1.09E+00,9.42E-01
1.026504955,1.029433985,1.09E+00,9.47E-01
1.023958113,1.030427137,1.10E+00,9.47E-01
1.02454914,1.029968084,1.10E+00,9.53E-01
1.02023043,1.030165103,1.09E+00,9.49E-01
1.020365351,1.031288951,1.09E+00,9.57E-01
1.020365351,1.031182937,1.09E+00,9.51E-01
1.026635451,1.030823761,1.09E+00,9.47E-01
1.026894898,1.029658094,1.09E+00,9.42E-01
1.026894898,1.02803506,1.10E+00,9.40E-01
1.026894898,1.029735331,1.10E+00,9.42E-01
1.026982828,1.032014041,1.10E+00,9.43E-01
1.027449814,1.033794944,1.10E+00,9.40E-01
1.027449814,1.035098631,1.11E+00,9.43E-01
1.027449814,1.036535938,1.11E+00,9.45E-01
1.027449814,1.041226915,1.11E+00,9.45E-01
1.027449814,1.036946562,1.11E+00,9.61E-01
1.026809962,1.033627227,1.12E+00,9.58E-01
1.026809962,1.032874659,1.12E+00,9.58E-01
1.02664725,1.03138142,1.13E+00,9.54E-01
1.02664725,1.032170808,1.13E+00,9.59E-01
1.027078709,1.031177921,1.13E+00,9.62E-01
1.022678737,1.032921257,1.13E+00,9.53E-01
1.022678737,1.030817505,1.13E+00,9.50E-01
1.021488399,1.030966825,1.12E+00,9.48E-01
1.023107095,1.036586989,1.12E+00,9.48E-01
1.02262076,1.033131032,1.11E+00,9.44E-01
1.022832671,1.033070723,1.11E+00,9.45E-01
1.02417456,1.02723106,1.11E+00,9.42E-01
1.024217404,1.023789497,1.12E+00,9.45E-01
1.024033844,1.024391692,1.11E+00,9.45E-01
1.024849779,1.019301665,1.11E+00,9.44E-01
1.024849779,1.020209256,1.12E+00,9.42E-01
1.030657874,1.018492579,1.12E+00,9.41E-01
1.030657874,1.010935321,1.12E+00,9.47E-01
1.029458525,1.011653059,1.13E+00,9.47E-01
1.024776286,1.008563974,1.13E+00,9.37E-01
1.025009147,1.00564099,1.12E+00,9.32E-01
1.025009147,1.006020388,1.12E+00,9.32E-01
1.025009147,1.006898035,1.12E+00,9.31E-01
1.025009147,1.00733777,1.13E+00,9.30E-01
1.027014325,1.007584991,1.12E+00,9.36E-01
1.025721292,1.007464053,1.13E+00,9.44E-01
1.025835357,1.011031526,1.13E+00,9.45E-01
1.025916139,1.011169696,1.13E+00,9.47E-01
1.026388893,1.012267544,1.13E+00,9.50E-01
1.026388893,1.012817885,1.13E+00,9.48E-01
1.030069587,1.01341814,1.13E+00,9.47E-01
1.027202235,1.016073539,1.13E+00,9.39E-01
1.027202235,1.015830837,1.10E+00,9.60E-01
1.028224373,1.014727746,1.08E+00,9.85E-01
1.028224373,1.011346478,1.08E+00,9.88E-01
1.029781619,1.011244369,1.08E+00,9.78E-01
1.030064713,1.009187962,1.09E+00,9.91E-01
1.030064713,1.011811876,1.08E+00,9.83E-01
1.030776106,1.012359463,1.07E+00,9.82E-01
1.030776106,1.014631377,1.08E+00,9.81E-01
1.030776106,1.024951065,1.09E+00,1.00E+00
1.030776106,1.021804504,1.10E+00,1.00E+00
1.030776106,1.000940459,1.09E+00,9.91E-01
1.031528791,1.000370498,1.09E+00,9.94E-01
1.031528791,1.020377124,1.09E+00,9.95E-01
1.029941389,1.020476484,1.09E+00,9.93E-01
1.032482366,1.023927642,1.09E+00,9.94E-01
1.032600106,1.022128842,1.10E+00,9.99E-01
1.03524374,1.020616411,1.11E+00,9.98E-01
1.035569161,1.020229034,1.11E+00,9.97E-01
1.037088173,1.022022979,1.11E+00,9.94E-01
1.037292882,1.031100976,1.11E+00,9.95E-01
1.038420788,1.032464543,1.12E+00,1.00E+00
1.038987314,1.03108323,1.13E+00,1.00E+00
1.039349247,1.032083958,1.13E+00,1.00E+00
