,0
0,-0.0034328755
1,-0.0033343248
2,-0.003258625
3,-0.0032247882
4,-0.0032082088
5,-0.0032001846
6,-0.0031965002
7,-0.003194876
8,-0.0031866953
9,-0.0031872466
10,-0.0031811595
11,-0.0031838063
12,-0.003177289
13,-0.0031808186
14,-0.003186211
15,-0.0031896736
16,-0.0031641386
17,-0.0031592846
18,-0.0031701215
19,-0.0034161713
20,-0.0034861602
21,-0.0047014356
22,-0.0047113504
23,-0.004012082
24,-0.0035525374
25,-0.0032964945
26,-0.0031639189
27,-0.003088126
28,-0.0030686222
29,-0.004046187
30,-0.004758224
31,-0.004083898
32,-0.003608808
33,-0.0032906104
34,-0.0041894056
35,-0.0041406844
36,-0.0036878437
37,-0.0047593284
38,-0.004052354
39,-0.003558118
40,-0.0032684375
41,-0.0031088814
42,-0.00304069
43,-0.003005445
44,-0.0030149035
45,-0.0030411538
46,-0.0030691978
47,-0.0030954313
48,-0.003118325
49,-0.0031373147
50,-0.0031431355
51,-0.003155794
52,-0.003168214
53,-0.003177112
54,-0.0031834785
55,-0.0031878948
56,-0.0031904615
57,-0.0031924006
58,-0.0031939466
59,-0.0031948686
60,-0.0031954478
61,-0.003195757
62,-0.0031958744
63,-0.0017434284
64,-0.0044285115
65,-0.004379495
66,-0.0040936517
67,-0.003806349
68,-0.0035796221
69,-0.0034187865
70,-0.0033130385
71,-0.0032478794
72,-0.003210593
73,-0.0031911694
74,-0.0031175762
75,-0.0030326154
76,-0.0030623674
77,-0.0031094514
78,-0.0031359699
79,-0.003156716
80,-0.003171675
81,-0.0031812862
82,-0.0031873956
83,-0.0031911954
84,-0.0031934716
85,-0.0031947717
86,-0.0031954627
87,-0.003195772
88,-0.0031958092
89,-0.0031957477
90,-0.0031956118
91,-0.0031954255
92,-0.003195297
93,-0.0031950679
94,-0.0031750035
95,-0.003846446
96,-0.0040930444
97,-0.0037910864
98,-0.003548827
99,-0.0033968296
100,-0.003509923
101,0.0018862234
102,-0.0046108942
103,-0.006373332
104,-0.0061391527
105,-0.005247606
106,-0.0042764004
107,-0.00475619
108,-0.004005242
109,-0.0029907469
110,-0.0023176568
111,-0.0019345628
112,-0.0017283587
113,-0.0016395841
114,-0.0016144859
115,-0.001628017
116,-0.0016594762
117,-0.0016918825
118,-0.0017299326
119,-0.0017335257
120,-0.0009386707
121,-0.0029521603
122,-0.0026965002
123,-0.004045467
124,-0.0060155867
125,-0.0049926545
126,-0.0034895102
127,-0.0025144722
128,-0.001991799
129,-0.0017309459
130,-0.0016173841
131,-0.0015192432
132,-0.0015132818
133,-0.0015412914
134,-0.0016031824
135,-0.0015280927
136,-0.0038930913
137,-0.0034457669
138,-0.0027136467
139,-0.002223012
140,-0.001959077
141,-0.0018279869
142,-0.0017724205
143,-0.0017582364
144,-0.001765361
145,-0.0017826743
146,-0.0018056361
147,-0.001845534
148,-0.0019933572
149,-0.0023868866
150,-0.0031685755
151,-0.0031750575
152,-0.003180176
