,0
0,-0.0029077805
1,-0.0029077805
2,-0.0029077805
3,-0.0029077805
4,-0.0029077805
5,-0.0029077805
6,-0.0029077805
7,-0.0029077805
8,-0.0029077805
9,-0.0029077805
10,-0.0029077805
11,-0.0029077805
12,-0.0029077805
13,-0.0029077805
14,-0.0029077805
15,-0.0029077805
16,-0.0029077805
17,-0.0029077805
18,-0.0029077805
19,-0.0029077805
20,-0.0029077805
21,-0.0029077805
22,-0.0029077805
23,-0.0029077805
24,-0.0029077805
25,-0.0029077805
26,-0.0029077805
27,-0.0029077805
28,-0.0029077805
29,-0.0029077805
30,-0.0029077805
31,-0.0029077805
32,-0.0029077805
33,-0.0029077805
34,-0.0029077805
35,-0.0029077805
36,-0.0029077805
37,-0.0029077805
38,-0.0029077805
39,-0.0029077805
40,-0.0029077805
41,-0.0029077805
42,-0.0029077805
43,-0.0029077805
44,-0.0029077805
45,-0.0029077805
46,-0.0029077805
47,-0.0029077805
48,-0.0029077805
49,-0.0029077805
50,-0.0029077805
51,-0.0029077805
52,-0.0029077805
53,-0.0029077805
54,-0.0029077805
55,-0.0029077805
56,-0.0029077805
57,-0.0029077805
58,-0.0029077805
59,-0.0029077805
60,-0.0029077805
61,-0.0029077805
62,-0.0029077805
63,-0.0029077805
64,-0.0029077805
65,-0.0029077805
66,-0.0029077805
67,-0.0029077805
68,-0.0029077805
69,-0.0029077805
70,-0.0029077805
71,-0.0029077805
72,-0.0029077805
73,-0.0029077805
74,-0.0029077805
75,-0.0029077805
76,-0.0029077805
77,-0.0029077805
78,-0.0029077805
79,-0.0029077805
80,-0.0029077805
81,-0.0029077805
82,-0.0029077805
83,-0.0029077805
84,-0.0029077805
85,-0.0029077805
86,-0.0029077805
87,-0.0029077805
88,-0.0029077805
89,-0.0029077805
90,-0.0029077805
91,-0.0029077805
92,-0.0029077805
93,-0.0029077805
94,-0.0029077805
95,-0.0029077805
96,-0.0029077805
97,-0.0029077805
98,-0.0029077805
99,-0.0029077805
100,-0.0029077805
101,-0.0029077805
102,-0.0029077805
103,-0.0029077805
104,-0.0029077805
105,-0.0029077805
106,-0.0029077805
107,-0.0029077805
108,-0.0029077805
109,-0.0029077805
110,-0.0029077805
111,-0.0029077805
112,-0.0029077805
113,-0.0029077805
