,0
0,-0.005243894
1,-0.0052439
2,-0.005243922
3,-0.005243928
4,-0.0052439272
5,-0.0065144133
6,-0.0052152746
7,-0.005252364
8,-0.005287592
9,-0.0053000185
10,-0.005297482
11,-0.005288035
12,-0.005276794
13,-0.005266502
14,-0.005258206
15,-0.005252032
16,-0.0052477387
17,-0.005244924
18,-0.005243214
19,-0.0052422346
20,-0.00524182
21,-0.005241672
22,-0.0052417624
23,-0.005241929
24,-0.005242164
25,-0.005242403
26,-0.0052426285
27,-0.005242877
28,-0.0052430364
29,-0.0052431854
30,-0.010638076
31,-0.010159129
32,-0.013489518
33,-0.009834815
34,-0.0072920867
35,-0.0045959996
36,-0.0013105825
37,0.00053810474
38,-0.0028762338
39,-0.003945001
40,-0.0039259046
41,-0.0026762898
42,-0.0010509528
43,0.0002223638
44,8.94285e-06
45,-0.00032090832
46,-0.0010346514
47,-0.002055055
48,-0.0027233355
49,-0.0032628947
50,-0.0036609638
51,-0.0038366183
52,-0.007285208
53,-0.009379965
54,-0.009145552
55,-0.00939347
56,-0.007425778
57,-0.0061037014
58,-0.0049200063
59,-0.0046508024
60,-0.004539505
61,-0.004510841
62,-0.0045340094
63,-0.0045938487
64,-0.003238232
65,-0.0059468397
66,-0.0044114133
67,-0.00219957
68,-0.0044584037
69,-0.003327983
70,-0.0039440244
71,-0.0043232823
72,-0.0039645857
73,-0.004222836
74,-0.0031303833
75,-0.0042385496
76,-0.0044440986
77,-0.004906871
78,-0.0025238965
79,-0.0050025093
80,-0.0050225747
81,-0.0052656154
82,-0.005300295
83,-0.005235399
84,-0.005154177
85,-0.005088461
86,-0.005043433
87,-0.0050194734
88,-0.005035925
89,-0.005039023
90,-0.0050486303
91,-0.0050614467
92,-0.0050752982
93,-0.005089316
94,-0.008148599
95,-0.0053020176
96,-0.0048832768
97,-0.0046246713
98,-0.0028161346
99,-0.0018479924
100,-0.0033389388
101,-0.0042320536
102,-0.0049462067
103,-0.0052571227
104,-0.0058626602
105,-0.005297923
106,-0.005281243
107,-0.007225917
108,-0.005296107
109,-0.005122747
110,-0.006996839
111,-0.0076138247
112,-0.0048274505
113,-0.0034275246
114,-0.0042318753
115,-0.0072767604
116,-0.006251963
117,-0.0056558163
118,-0.0047823726
119,-0.0048869527
120,-0.0049496726
121,-0.0049800035
122,-0.005019793
123,-0.004982404
124,-0.005032899
125,-0.0050559607
126,-0.0051249536
127,-0.0050422517
128,-0.0051116515
129,-0.005130094
130,-0.005146899
131,-0.0051617385
132,-0.005174439
133,-0.005185197
134,-0.0051941555
135,-0.0052013784
136,-0.005207257
137,-0.005958481
138,-0.0051842113
139,-0.0073078373
140,-0.0053313333
141,-0.005220209
142,-0.005216962
143,-0.0052251318
144,-0.0052281264
145,-0.005225912
146,-0.0053597987
147,-0.0052320994
148,-0.005285982
149,-0.0064451834
150,-0.0052619954
151,-0.0052825976
152,-0.0053008613
153,-0.0053004124
154,-0.005289379
155,-0.005274755
156,-0.008177256
157,-0.008532857
158,-0.007848373
159,-0.0043930723
160,-0.0041805864
161,-0.0054741134
162,-0.0045786365
163,-0.00485378
164,-0.004992072
165,-0.005067769
166,-0.0051072785
167,-0.005128886
168,-0.005142704
169,-0.0051537002
170,-0.0051638675
171,-0.006774614
172,-0.005169373
173,-0.005166784
174,-0.0052032396
175,-0.005227567
176,-0.005238069
177,-0.0052399607
178,-0.00523808
179,-0.0052352794
180,-0.005232995
181,-0.005231713
182,-0.005231399
183,-0.0052318205
184,-0.005232765
185,-0.0052339085
186,-0.0052352324
187,-0.005236506
188,-0.005237697
189,-0.005238745
190,-0.005239677
191,-0.0052404725
192,-0.0052411375
193,-0.005241681
194,-0.005242128
195,-0.0052425046
196,-0.0052427584
197,-0.0052430374
198,-0.0052432027
199,-0.005243342
200,-0.005501026
201,-0.0052361945
202,-0.0053021624
203,-0.0053218966
204,-0.0053163734
205,-0.005302688
206,-0.0052882056
207,-0.005275521
208,-0.005266408
209,-0.0052592484
210,-0.0052540964
211,-0.0052505177
212,-0.0052481066
213,-0.006449466
214,-0.008294783
215,-0.0050674607
216,-0.0048105507
217,-0.007974555
218,-0.005684881
219,-0.004724279
220,-0.004831286
221,-0.006039436
222,-0.0045176437
223,-0.004480155
224,-0.004692317
225,-0.004866412
226,-0.0049824505
227,-0.0050539933
228,-0.005097623
229,-0.0051255603
230,-0.0051450017
231,-0.0051600733
232,-0.00517266
233,-0.0051835943
234,-0.00519325
235,-0.005201769
236,-0.005209166
237,-0.0052154944
238,-0.005220842
239,-0.005225336
240,-0.0052290107
241,-0.005232017
242,-0.005234504
243,-0.0052364846
244,-0.0052380324
245,-0.005239352
246,-0.005240328
247,-0.005241106
248,-0.0052417456
249,-0.0052422066
250,-0.005242605
251,-0.005242896
252,-0.0052431216
253,-0.005243317
254,-0.0052434043
255,-0.0052435403
256,-0.0052436157
257,-0.005243688
258,-0.0052437424
259,-0.0052437796
260,-0.0052438076
261,-0.0052438625
262,-0.0052438774
263,-0.0052438644
264,-0.005243884
265,-0.005243883
266,-0.0052438863
267,-0.005243916
268,-0.0052439375
269,-0.005243922
270,-0.0052439203
271,-0.0052439272
272,-0.0052439272
273,-0.0052439277
274,-0.0052439277
275,-0.0052439272
276,-0.0052439277
277,-0.0052439277
278,-0.0052439277
279,-0.0052439272
280,-0.0052439277
281,-0.0052439272
282,-0.008954199
283,-0.009670806
284,-0.00931615
285,-0.00810859
286,-0.005652879
287,-0.003301797
288,-0.0013190964
289,-0.0013517351
290,-0.004212468
291,-0.0051771696
292,-0.0046015773
293,-0.0026617919
294,-0.004734195
295,-0.006723788
296,-0.0057456205
297,-0.003927392
298,-0.0026595728
299,-0.0021599482
300,-0.0019144297
301,-0.0027567171
302,-0.0033033974
303,-0.00455488
304,-0.0064718183
305,-0.006490416
306,-0.0052161836
307,-0.004099071
308,-0.0035574576
309,-0.0034178672
310,-0.0034029493
311,-0.0034644692
312,-0.0035732219
313,-0.0037075486
314,-0.003850839
315,-0.0039914036
316,-0.004121787
317,-0.004237826
318,-0.0043380144
319,-0.004422572
320,-0.0044925637
321,-0.004549759
322,-0.004595999
323,-0.0046331473
324,-0.004727084
325,-0.0047354996
326,-0.004782164
327,-0.004799608
328,-0.0047990414
329,-0.0047934907
330,-0.0047885804
331,-0.0047924654
332,-0.0047875014
333,-0.0047850236
334,-0.0047830283
335,-0.004781957
336,-0.0047815363
337,-0.0047819535
338,-0.004783058
339,-0.004807674
340,-0.004808205
341,-0.0048105833
342,-0.0048112413
343,-0.0048120935
344,-0.0048141056
345,-0.0038681529
346,-0.0073934686
347,-0.00755699
348,-0.0046003195
349,-0.0044661337
350,-0.007022603
351,-0.0049322774
352,-0.0048585
353,-0.004859208
354,-0.00489
355,-0.004923749
356,-0.005761949
357,-0.006130587
358,-0.00343442
359,-0.004537874
360,-0.0045765056
361,-0.0076803253
362,-0.0056119277
363,-0.008071529
364,-0.0054770974
365,-0.0050788
366,-0.0049704635
367,-0.005022948
368,-0.007855911
369,-0.0052472795
370,-0.004936194
371,-0.0048976247
372,-0.0049256585
373,-0.004965531
374,-0.0050026174
375,-0.0050346185
376,-0.005062139
377,-0.005086081
378,-0.005107074
379,-0.0051254057
380,-0.0051412513
381,-0.0051554325
382,-0.005169107
383,-0.005176649
384,-0.0051840064
385,-0.00519109
386,-0.0051961285
387,-0.0052214237
388,-0.005215502
389,-0.0052260407
390,-0.005228965
391,-0.005228179
392,-0.005233643
393,-0.005285032
394,-0.0051026293
395,-0.005226876
396,-0.005229363
397,-0.0052288766
398,-0.0052289655
399,-0.0053105485
400,-0.005261163
401,-0.0034488393
402,-0.007441063
403,-0.005921391
404,-0.005149281
405,-0.0050177714
406,-0.0063411985
407,-0.005240862
408,-0.008217993
409,-0.005293417
410,-0.004238173
411,-0.004048632
412,-0.004350289
413,-0.0048469156
414,-0.005072912
415,-0.005215584
416,-0.0052512507
417,-0.005238746
418,-0.0052158
419,-0.0051963734
420,-0.005184377
421,-0.005179354
422,-0.005179576
423,-0.005183254
424,-0.005188772
425,-0.005195089
426,-0.0052014426
427,-0.0052073705
428,-0.0052127247
429,-0.005217387
430,-0.0052212873
431,-0.0052245664
432,-0.0052272384
433,-0.0052294047
434,-0.0052311453
435,-0.0052325465
436,-0.0052336743
437,-0.005234551
438,-0.005235265
439,-0.0052357917
440,-0.0052362187
441,-0.0052365623
442,-0.00523683
443,-0.005237031
444,-0.005237192
445,-0.0052373265
446,-0.0052374178
447,-0.005237615
448,-0.005238407
449,-0.005242479
450,-0.00524379
